scenario,region,LandLeaf,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,Units
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,FodderGrass_MissouriR_RFD_hi,0.0425023,0.0180089,0.0180089,0.0180089,0.0180089,0.0180089,-0.0376729,-0.0376729,-0.0376729,-0.0376729,-0.0376729,-0.0393852,-0.0393852,-0.0393852,-0.0393852,-0.0393852,-0.040754,-0.040754,-0.040754,-0.040754,-0.040754,-0.0398566,-0.0398566,-0.0398566,-0.0398566,-0.0398566,-0.0385449,-0.0385449,-0.0385449,-0.0385449,-0.0385449,-0.0346849,-0.0346849,-0.0346849,-0.0346849,-0.0346849,-0.0333616,-0.0333616,-0.0333616,-0.0333616,-0.0333616,-0.0364297,-0.0364297,-0.0364297,-0.0364297,-0.0364297,-0.0351429,-0.0351429,-0.0351429,-0.0351429,-0.0351429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,FodderGrass_MissouriR_RFD_lo,0.0425023,0.0180089,0.0180089,0.0180089,0.0180089,0.0180089,-0.0192844,-0.0192844,-0.0192844,-0.0192844,-0.0192844,-0.0157054,-0.0157054,-0.0157054,-0.0157054,-0.0157054,-0.0149993,-0.0149993,-0.0149993,-0.0149993,-0.0149993,-0.0127183,-0.0127183,-0.0127183,-0.0127183,-0.0127183,-0.0122306,-0.0122306,-0.0122306,-0.0122306,-0.0122306,-0.0104956,-0.0104956,-0.0104956,-0.0104956,-0.0104956,-0.00970854,-0.00970854,-0.00970854,-0.00970854,-0.00970854,-0.00859133,-0.00859133,-0.00859133,-0.00859133,-0.00859133,-0.00757967,-0.00757967,-0.00757967,-0.00757967,-0.00757967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,FodderHerb_MissouriR_IRR_hi,0.0566862,0.00643865,0.00643865,0.00643865,0.00643865,0.00643865,-0.0211926,-0.0211926,-0.0211926,-0.0211926,-0.0211926,-0.0207473,-0.0207473,-0.0207473,-0.0207473,-0.0207473,-0.0217962,-0.0217962,-0.0217962,-0.0217962,-0.0217962,-0.025547,-0.025547,-0.025547,-0.025547,-0.025547,-0.0202076,-0.0202076,-0.0202076,-0.0202076,-0.0202076,-0.0201938,-0.0201938,-0.0201938,-0.0201938,-0.0201938,-0.0173024,-0.0173024,-0.0173024,-0.0173024,-0.0173024,-0.0221292,-0.0221292,-0.0221292,-0.0221292,-0.0221292,-0.0217749,-0.0217749,-0.0217749,-0.0217749,-0.0217749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,FodderHerb_MissouriR_IRR_lo,0.0566862,0.00643865,0.00643865,0.00643865,0.00643865,0.00643865,-0.0113379,-0.0113379,-0.0113379,-0.0113379,-0.0113379,-0.00810859,-0.00810859,-0.00810859,-0.00810859,-0.00810859,-0.00781236,-0.00781236,-0.00781236,-0.00781236,-0.00781236,-0.0116997,-0.0116997,-0.0116997,-0.0116997,-0.0116997,-0.00551919,-0.00551919,-0.00551919,-0.00551919,-0.00551919,-0.00529673,-0.00529673,-0.00529673,-0.00529673,-0.00529673,-0.00396152,-0.00396152,-0.00396152,-0.00396152,-0.00396152,-0.00477826,-0.00477826,-0.00477826,-0.00477826,-0.00477826,-0.00416923,-0.00416923,-0.00416923,-0.00416923,-0.00416923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,FodderHerb_MissouriR_RFD_hi,0.228294,0.0259305,0.0259305,0.0259305,0.0259305,0.0259305,-0.0963924,-0.0963924,-0.0963924,-0.0963924,-0.0963924,-0.0972978,-0.0972978,-0.0972978,-0.0972978,-0.0972978,-0.0963555,-0.0963555,-0.0963555,-0.0963555,-0.0963555,-0.120537,-0.120537,-0.120537,-0.120537,-0.120537,-0.0917907,-0.0917907,-0.0917907,-0.0917907,-0.0917907,-0.0927196,-0.0927196,-0.0927196,-0.0927196,-0.0927196,-0.0802807,-0.0802807,-0.0802807,-0.0802807,-0.0802807,-0.0957527,-0.0957527,-0.0957527,-0.0957527,-0.0957527,-0.0943084,-0.0943084,-0.0943084,-0.0943084,-0.0943084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,FodderHerb_MissouriR_RFD_lo,0.228294,0.0259305,0.0259305,0.0259305,0.0259305,0.0259305,-0.0468135,-0.0468135,-0.0468135,-0.0468135,-0.0468135,-0.0330935,-0.0330935,-0.0330935,-0.0330935,-0.0330935,-0.0438074,-0.0438074,-0.0438074,-0.0438074,-0.0438074,-0.0335046,-0.0335046,-0.0335046,-0.0335046,-0.0335046,-0.0208167,-0.0208167,-0.0208167,-0.0208167,-0.0208167,-0.0195658,-0.0195658,-0.0195658,-0.0195658,-0.0195658,-0.0141073,-0.0141073,-0.0141073,-0.0141073,-0.0141073,-0.0175878,-0.0175878,-0.0175878,-0.0175878,-0.0175878,-0.0151274,-0.0151274,-0.0151274,-0.0151274,-0.0151274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,Forest_MissouriR,-0.0714945,-0.0194835,-0.0239999,-0.0325759,-0.0444863,-0.0591033,0.277617,0.260984,0.244028,0.226914,0.209781,0.167024,0.150499,0.134413,0.118801,0.103686,0.0739988,0.06001,0.0465978,0.0337556,0.021474,0.0330598,0.0223203,0.0123431,0.00306834,-0.0055586,-0.0832006,-0.0899041,-0.0956894,-0.10067,-0.104945,-0.135251,-0.138028,-0.140154,-0.141722,-0.142814,-0.191278,-0.191295,-0.190852,-0.190027,-0.188888,-0.14301,-0.140413,-0.13713,-0.133294,-0.129023,-0.161789,-0.156271,-0.150228,-0.143786,-0.137053,-0.378108,-0.369299,-0.359508,-0.348963,-0.337858,-0.326356,-0.3146,-0.302709,-0.290784,-0.278908,-0.267152,-0.255573,-0.244218,-0.233126,-0.222325,-0.21184,-0.201687,-0.191878,-0.182422,-0.173322,-0.16458,-0.156194,-0.14816,-0.140475,-0.13313,-0.126119,-0.119432,-0.11306,-0.106993,-0.101221,-0.0957337,-0.0905195,-0.0855682,-0.080869,-0.0764114,-0.0721849,-0.0681793,-0.0643845,-0.0607909,-0.0573889,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,Grassland_MissouriR,-2.42785,-2.21449,-2.12501,-2.09637,-2.09581,-2.10673,-1.84819,-1.56046,-1.24464,-0.954483,-0.708823,-0.52359,-0.367334,-0.246637,-0.154553,-0.0848991,-0.0427459,-0.00356667,0.0256656,0.0474268,0.0635994,0.0913683,0.10028,0.106885,0.111779,0.115402,0.0922615,0.0942393,0.0957008,0.0967811,0.0975798,0.088656,0.0890906,0.0894114,0.0896483,0.0898233,0.0704411,0.0705326,0.0705989,0.0706471,0.0706823,0.105786,0.105813,0.105835,0.105852,0.105866,0.0964572,0.0964633,0.0964673,0.0964699,0.0964717,1.35E-04,1.16E-04,9.44E-05,7.47E-05,5.79E-05,4.43E-05,3.36E-05,2.53E-05,1.90E-05,1.42E-05,1.06E-05,7.89E-06,5.87E-06,4.36E-06,3.23E-06,2.40E-06,1.78E-06,1.32E-06,9.78E-07,7.25E-07,5.37E-07,3.98E-07,2.95E-07,2.19E-07,1.62E-07,1.20E-07,8.89E-08,6.58E-08,4.88E-08,3.61E-08,2.68E-08,1.98E-08,1.47E-08,1.09E-08,8.06E-09,5.97E-09,4.42E-09,3.28E-09,2.43E-09,1.80E-09,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,MiscCrop_MissouriR_IRR_hi,-3.65E-05,-1.45E-04,-1.45E-04,-1.45E-04,-1.45E-04,-1.45E-04,1.17E-05,1.17E-05,1.17E-05,1.17E-05,1.17E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,3.59E-05,3.59E-05,3.59E-05,3.59E-05,3.59E-05,-1.49E-04,-1.49E-04,-1.49E-04,-1.49E-04,-1.49E-04,-1.07E-04,-1.07E-04,-1.07E-04,-1.07E-04,-1.07E-04,-9.95E-05,-9.95E-05,-9.95E-05,-9.95E-05,-9.95E-05,-9.23E-05,-9.23E-05,-9.23E-05,-9.23E-05,-9.23E-05,-7.06E-05,-7.06E-05,-7.06E-05,-7.06E-05,-7.06E-05,-4.77E-05,-4.77E-05,-4.77E-05,-4.77E-05,-4.77E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,MiscCrop_MissouriR_IRR_lo,-3.65E-05,-1.45E-04,-1.45E-04,-1.45E-04,-1.45E-04,-1.45E-04,7.57E-06,7.57E-06,7.57E-06,7.57E-06,7.57E-06,2.16E-05,2.16E-05,2.16E-05,2.16E-05,2.16E-05,4.60E-05,4.60E-05,4.60E-05,4.60E-05,4.60E-05,-4.92E-05,-4.92E-05,-4.92E-05,-4.92E-05,-4.92E-05,-6.58E-05,-6.58E-05,-6.58E-05,-6.58E-05,-6.58E-05,-2.70E-05,-2.70E-05,-2.70E-05,-2.70E-05,-2.70E-05,-2.27E-05,-2.27E-05,-2.27E-05,-2.27E-05,-2.27E-05,-1.02E-05,-1.02E-05,-1.02E-05,-1.02E-05,-1.02E-05,-3.94E-05,-3.94E-05,-3.94E-05,-3.94E-05,-3.94E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,MiscCrop_MissouriR_RFD_hi,-1.84E-04,-7.33E-04,-7.33E-04,-7.33E-04,-7.33E-04,-7.33E-04,-1.00E-04,-1.00E-04,-1.00E-04,-1.00E-04,-1.00E-04,-1.77E-05,-1.77E-05,-1.77E-05,-1.77E-05,-1.77E-05,-2.51E-05,-2.51E-05,-2.51E-05,-2.51E-05,-2.51E-05,-7.29E-04,-7.29E-04,-7.29E-04,-7.29E-04,-7.29E-04,-6.48E-04,-6.48E-04,-6.48E-04,-6.48E-04,-6.48E-04,-5.33E-04,-5.33E-04,-5.33E-04,-5.33E-04,-5.33E-04,-4.92E-04,-4.92E-04,-4.92E-04,-4.92E-04,-4.92E-04,-3.27E-04,-3.27E-04,-3.27E-04,-3.27E-04,-3.27E-04,-4.02E-04,-4.02E-04,-4.02E-04,-4.02E-04,-4.02E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,MiscCrop_MissouriR_RFD_lo,-1.84E-04,-7.33E-04,-7.33E-04,-7.33E-04,-7.33E-04,-7.33E-04,-1.35E-04,-1.35E-04,-1.35E-04,-1.35E-04,-1.35E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.04E-04,2.01E-04,2.01E-04,2.01E-04,2.01E-04,2.01E-04,-3.89E-04,-3.89E-04,-3.89E-04,-3.89E-04,-3.89E-04,-1.84E-04,-1.84E-04,-1.84E-04,-1.84E-04,-1.84E-04,-1.30E-04,-1.30E-04,-1.30E-04,-1.30E-04,-1.30E-04,-1.09E-04,-1.09E-04,-1.09E-04,-1.09E-04,-1.09E-04,-2.17E-04,-2.17E-04,-2.17E-04,-2.17E-04,-2.17E-04,-3.86E-05,-3.86E-05,-3.86E-05,-3.86E-05,-3.86E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,OilCrop_MissouriR_IRR_hi,2.89E-04,1.73E-04,1.73E-04,1.73E-04,1.73E-04,1.73E-04,-3.62E-04,-3.62E-04,-3.62E-04,-3.62E-04,-3.62E-04,-1.24E-04,-1.24E-04,-1.24E-04,-1.24E-04,-1.24E-04,-1.24E-04,-1.24E-04,-1.24E-04,-1.24E-04,-1.24E-04,-8.53E-05,-8.53E-05,-8.53E-05,-8.53E-05,-8.53E-05,-6.18E-05,-6.18E-05,-6.18E-05,-6.18E-05,-6.18E-05,-4.99E-05,-4.99E-05,-4.99E-05,-4.99E-05,-4.99E-05,-3.43E-05,-3.43E-05,-3.43E-05,-3.43E-05,-3.43E-05,-6.31E-05,-6.31E-05,-6.31E-05,-6.31E-05,-6.31E-05,-5.08E-05,-5.08E-05,-5.08E-05,-5.08E-05,-5.08E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,OilCrop_MissouriR_IRR_lo,2.89E-04,1.73E-04,1.73E-04,1.73E-04,1.73E-04,1.73E-04,-1.95E-04,-1.95E-04,-1.95E-04,-1.95E-04,-1.95E-04,-3.04E-05,-3.04E-05,-3.04E-05,-3.04E-05,-3.04E-05,-1.84E-05,-1.84E-05,-1.84E-05,-1.84E-05,-1.84E-05,-1.46E-05,-1.46E-05,-1.46E-05,-1.46E-05,-1.46E-05,-3.65E-06,-3.65E-06,-3.65E-06,-3.65E-06,-3.65E-06,-3.17E-06,-3.17E-06,-3.17E-06,-3.17E-06,-3.17E-06,1.13E-06,1.13E-06,1.13E-06,1.13E-06,1.13E-06,-8.02E-06,-8.02E-06,-8.02E-06,-8.02E-06,-8.02E-06,-3.10E-06,-3.10E-06,-3.10E-06,-3.10E-06,-3.10E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,OilCrop_MissouriR_RFD_hi,0.00941392,0.00563643,0.00563643,0.00563643,0.00563643,0.00563643,-0.0107086,-0.0107086,-0.0107086,-0.0107086,-0.0107086,-0.00323789,-0.00323789,-0.00323789,-0.00323789,-0.00323789,-0.00299391,-0.00299391,-0.00299391,-0.00299391,-0.00299391,-0.00241674,-0.00241674,-0.00241674,-0.00241674,-0.00241674,-0.00156631,-0.00156631,-0.00156631,-0.00156631,-0.00156631,-0.00130693,-0.00130693,-0.00130693,-0.00130693,-0.00130693,-7.24E-04,-7.24E-04,-7.24E-04,-7.24E-04,-7.24E-04,-0.00211725,-0.00211725,-0.00211725,-0.00211725,-0.00211725,-0.00182569,-0.00182569,-0.00182569,-0.00182569,-0.00182569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,OilCrop_MissouriR_RFD_lo,0.00941392,0.00563643,0.00563643,0.00563643,0.00563643,0.00563643,-0.00632063,-0.00632063,-0.00632063,-0.00632063,-0.00632063,-5.79E-04,-5.79E-04,-5.79E-04,-5.79E-04,-5.79E-04,-6.91E-04,-6.91E-04,-6.91E-04,-6.91E-04,-6.91E-04,-3.05E-04,-3.05E-04,-3.05E-04,-3.05E-04,-3.05E-04,-1.99E-04,-1.99E-04,-1.99E-04,-1.99E-04,-1.99E-04,6.41E-05,6.41E-05,6.41E-05,6.41E-05,6.41E-05,-4.26E-05,-4.26E-05,-4.26E-05,-4.26E-05,-4.26E-05,-3.50E-04,-3.50E-04,-3.50E-04,-3.50E-04,-3.50E-04,-1.94E-04,-1.94E-04,-1.94E-04,-1.94E-04,-1.94E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MtC/yr
