Series,scenario,region,LandLeaf,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,Units
SG20,"CORN1BG,date=2025-13-2T07:20:41-08:00",USA,FodderGrass_MissouriR_RFD_hi,0.386673,0.378943,0.372215,0.366357,0.361257,0.356818,0.222088,0.104799,0.00269235,-0.0861962,-0.163578,-0.234968,-0.297116,-0.351219,-0.398318,-0.439321,-0.478232,-0.512107,-0.541596,-0.567269,-0.589617,-0.606964,-0.622065,-0.635212,-0.646656,-0.65662,-0.66221,-0.667077,-0.671313,-0.675002,-0.678213,-0.671936,-0.666472,-0.661715,-0.657574,-0.653969,-0.647721,-0.642281,-0.637546,-0.633424,-0.629835,-0.633921,-0.637479,-0.640576,-0.643272,-0.645619,-0.644638,-0.643784,-0.643041,-0.642393,-0.64183,-0.558745,-0.486416,-0.42345,-0.368634,-0.320915,-0.279373,-0.243208,-0.211725,-0.184317,-0.160457,-0.139686,-0.121604,-0.105862,-0.0921586,-0.0802287,-0.0698432,-0.060802,-0.0529312,-0.0460793,-0.0401144,-0.0349216,-0.030401,-0.0264656,-0.0230397,-0.0200572,-0.0174608,-0.0152005,-0.0132328,-0.0115198,-0.0100286,-0.0087304,-0.00760025,-0.0066164,-0.00575991,-0.0050143,-0.0043652,-0.00380013,-0.0033082,-0.00287996,-0.00250715,MtC/yr
SG20,"CORN1BG,date=2025-13-2T07:20:41-08:00",USA,FodderGrass_MissouriR_RFD_lo,0.386673,0.378943,0.372215,0.366357,0.361257,0.356818,0.265305,0.185638,0.116284,0.0559085,0.00334824,-0.0339965,-0.0665069,-0.0948089,-0.119447,-0.140896,-0.157909,-0.17272,-0.185613,-0.196838,-0.206609,-0.209755,-0.212493,-0.214877,-0.216952,-0.218759,-0.219185,-0.219557,-0.21988,-0.220161,-0.220406,-0.216542,-0.213178,-0.210249,-0.2077,-0.20548,-0.201698,-0.198406,-0.19554,-0.193045,-0.190872,-0.186356,-0.182424,-0.179001,-0.176021,-0.173427,-0.168791,-0.164755,-0.161241,-0.158183,-0.15552,-0.135388,-0.117862,-0.102605,-0.0893228,-0.0777601,-0.0676941,-0.0589311,-0.0513025,-0.0446614,-0.03888,-0.033847,-0.0294655,-0.0256513,-0.0223307,-0.01944,-0.0169235,-0.0147328,-0.0128256,-0.0111654,-0.00972001,-0.00846176,-0.00736639,-0.00641281,-0.00558268,-0.00486,-0.00423088,-0.00368319,-0.00320641,-0.00279134,-0.00243,-0.00211544,-0.0018416,-0.0016032,-0.00139567,-0.001215,-0.00105772,-9.21E-04,-8.02E-04,-6.98E-04,-6.08E-04,MtC/yr
SG20,"CORN1BG,date=2025-13-2T07:20:41-08:00",USA,FodderHerb_MissouriR_IRR_hi,0.527649,0.473498,0.426358,0.385319,0.349593,0.318492,0.230678,0.154231,0.0876805,0.0297447,-0.0206913,-0.0636195,-0.100991,-0.133524,-0.161846,-0.186502,-0.210272,-0.230964,-0.248979,-0.264661,-0.278313,-0.298443,-0.315967,-0.331223,-0.344503,-0.356065,-0.354393,-0.352937,-0.35167,-0.350567,-0.349607,-0.34874,-0.347986,-0.347329,-0.346758,-0.34626,-0.339471,-0.333561,-0.328416,-0.323937,-0.320037,-0.327253,-0.333534,-0.339003,-0.343763,-0.347908,-0.350737,-0.3532,-0.355344,-0.35721,-0.358835,-0.312384,-0.271946,-0.236743,-0.206097,-0.179418,-0.156192,-0.135973,-0.118371,-0.103048,-0.0897088,-0.078096,-0.0679865,-0.0591857,-0.0515241,-0.0448544,-0.039048,-0.0339933,-0.0295929,-0.0257621,-0.0224272,-0.019524,-0.0169966,-0.0147964,-0.012881,-0.0112136,-0.009762,-0.00849832,-0.00739821,-0.00644052,-0.0056068,-0.004881,-0.00424916,-0.00369911,-0.00322026,-0.0028034,-0.0024405,-0.00212458,-0.00184955,-0.00161013,-0.0014017,MtC/yr
SG20,"CORN1BG,date=2025-13-2T07:20:41-08:00",USA,FodderHerb_MissouriR_IRR_lo,0.527649,0.473498,0.426358,0.385319,0.349593,0.318492,0.25234,0.194752,0.144619,0.100975,0.0629805,0.0370034,0.0143891,-0.00529786,-0.0224363,-0.0373563,-0.0496936,-0.0604339,-0.0697839,-0.0779235,-0.0850095,-0.0997232,-0.112532,-0.123683,-0.133391,-0.141841,-0.135612,-0.13019,-0.125469,-0.121359,-0.117782,-0.114178,-0.111041,-0.10831,-0.105933,-0.103863,-0.0991263,-0.0950027,-0.0914129,-0.0882877,-0.0855672,-0.0849941,-0.0844952,-0.0840609,-0.0836829,-0.0833537,-0.0817284,-0.0803135,-0.0790818,-0.0780095,-0.077076,-0.0670985,-0.0584127,-0.0508512,-0.0442685,-0.038538,-0.0335493,-0.0292063,-0.0254256,-0.0221343,-0.019269,-0.0167746,-0.0146032,-0.0127128,-0.0110671,-0.0096345,-0.00838732,-0.00730158,-0.0063564,-0.00553357,-0.00481725,-0.00419366,-0.00365079,-0.0031782,-0.00276678,-0.00240862,-0.00209683,-0.0018254,-0.0015891,-0.00138339,-0.00120431,-0.00104841,-9.13E-04,-7.95E-04,-6.92E-04,-6.02E-04,-5.24E-04,-4.56E-04,-3.97E-04,-3.46E-04,-3.01E-04,MtC/yr
SG20,"CORN1BG,date=2025-13-2T07:20:41-08:00",USA,FodderHerb_MissouriR_RFD_hi,2.4036,2.15693,1.94219,1.75524,1.5925,1.45083,1.02335,0.65121,0.327244,0.0452142,-0.200307,-0.416296,-0.604326,-0.768015,-0.910515,-1.03457,-1.14022,-1.2322,-1.31226,-1.38197,-1.44265,-1.5556,-1.65393,-1.73953,-1.81405,-1.87892,-1.86392,-1.85087,-1.8395,-1.8296,-1.82099,-1.8158,-1.81128,-1.80735,-1.80392,-1.80094,-1.76742,-1.73823,-1.71283,-1.69071,-1.67146,-1.69317,-1.71206,-1.72852,-1.74284,-1.75531,-1.76257,-1.76889,-1.7744,-1.77919,-1.78336,-1.5525,-1.35153,-1.17658,-1.02427,-0.891679,-0.776252,-0.675767,-0.588289,-0.512135,-0.44584,-0.388126,-0.337883,-0.294144,-0.256068,-0.22292,-0.194063,-0.168942,-0.147072,-0.128034,-0.11146,-0.0970315,-0.0844708,-0.0735361,-0.0640169,-0.05573,-0.0485157,-0.0422354,-0.0367681,-0.0320085,-0.027865,-0.0242579,-0.0211177,-0.018384,-0.0160042,-0.0139325,-0.0121289,-0.0105589,-0.00919202,-0.00800211,-0.00696624,MtC/yr
SG20,"CORN1BG,date=2025-13-2T07:20:41-08:00",USA,FodderHerb_MissouriR_RFD_lo,2.4036,2.15693,1.94219,1.75524,1.5925,1.45083,1.14662,0.881797,0.651253,0.450552,0.275833,0.157844,0.0551281,-0.034291,-0.112135,-0.179902,-0.265535,-0.340084,-0.404982,-0.461479,-0.510662,-0.527863,-0.542836,-0.555871,-0.567219,-0.577098,-0.554151,-0.534175,-0.516784,-0.501645,-0.488466,-0.473882,-0.461186,-0.450134,-0.440512,-0.432136,-0.411273,-0.39311,-0.377298,-0.363533,-0.35155,-0.349772,-0.348224,-0.346877,-0.345703,-0.344682,-0.337676,-0.331576,-0.326267,-0.321644,-0.31762,-0.276504,-0.240711,-0.209551,-0.182425,-0.15881,-0.138252,-0.120355,-0.104775,-0.0912124,-0.079405,-0.069126,-0.0601777,-0.0523877,-0.0456062,-0.0397025,-0.034563,-0.0300889,-0.0261939,-0.0228031,-0.0198512,-0.0172815,-0.0150444,-0.0130969,-0.0114015,-0.00992562,-0.00864076,-0.00752222,-0.00654847,-0.00570077,-0.00496281,-0.00432038,-0.00376111,-0.00327423,-0.00285039,-0.00248141,-0.00216019,-0.00188055,-0.00163712,-0.00142519,-0.0012407,MtC/yr
SG20,"CORN1BG,date=2025-13-2T07:20:41-08:00",USA,Forest_MissouriR,-0.00287589,-0.118888,-0.219882,-0.307802,-0.384341,-0.450972,-0.471243,-0.48889,-0.504252,-0.517626,-0.529268,-0.535435,-0.540803,-0.545477,-0.549545,-0.553087,-0.555507,-0.557614,-0.559448,-0.561045,-0.562435,-0.556196,-0.550764,-0.546036,-0.541919,-0.538336,-0.524961,-0.513319,-0.503183,-0.49436,-0.486678,-0.475397,-0.465577,-0.457028,-0.449585,-0.443106,-0.43353,-0.425193,-0.417935,-0.411617,-0.406117,-0.384823,-0.366287,-0.350149,-0.336101,-0.323871,-0.303814,-0.286353,-0.271153,-0.25792,-0.2464,-0.214504,-0.186737,-0.162564,-0.14152,-0.1232,-0.107252,-0.0933683,-0.0812818,-0.0707599,-0.0616001,-0.053626,-0.0466842,-0.0406409,-0.03538,-0.0308001,-0.026813,-0.0233421,-0.0203205,-0.01769,-0.0154,-0.0134065,-0.011671,-0.0101602,-0.00884499,-0.00770001,-0.00670325,-0.00583552,-0.00508011,-0.0044225,-0.00385001,-0.00335163,-0.00291776,-0.00254006,-0.00221125,-0.001925,-0.00167581,-0.00145888,-0.00127003,-0.00110562,-9.63E-04,MtC/yr
SG20,"CORN1BG,date=2025-13-2T07:20:41-08:00",USA,Grassland_MissouriR,-12.1443,-11.9668,-11.8123,-11.6778,-11.5607,-11.4588,-9.89018,-8.52466,-7.33591,-6.30103,-5.40013,-4.62459,-3.94945,-3.36171,-2.85005,-2.40462,-2.02339,-1.69151,-1.40259,-1.15107,-0.932107,-0.731435,-0.556739,-0.404658,-0.272264,-0.157008,-0.0731335,-1.17E-04,0.0634481,0.118785,0.166958,0.20283,0.234059,0.261246,0.284913,0.305516,0.311017,0.315805,0.319973,0.323602,0.326761,0.351869,0.373727,0.392755,0.40932,0.423741,0.430291,0.435994,0.440958,0.445279,0.449042,0.390913,0.34031,0.296257,0.257907,0.224521,0.195457,0.170155,0.148128,0.128953,0.11226,0.0977283,0.0850775,0.0740642,0.0644767,0.0561302,0.0488642,0.0425387,0.0370321,0.0322383,0.0280651,0.0244321,0.0212694,0.0185161,0.0161192,0.0140325,0.012216,0.0106347,0.00925803,0.00805958,0.00701627,0.00610802,0.00531734,0.00462901,0.00402979,0.00350814,0.00305401,0.00265867,0.00231451,0.0020149,0.00175407,MtC/yr
SG20,"CORN1BG,date=2025-13-2T07:20:41-08:00",USA,MiscCrop_MissouriR_IRR_hi,-0.00777064,-0.0109933,-0.0137987,-0.016241,-0.0183672,-0.0202181,-0.0172602,-0.0146852,-0.0124435,-0.010492,-0.00879317,-0.00610431,-0.00376352,-0.00172575,4.82E-05,0.00159258,0.00243321,0.00316502,0.00380209,0.0043567,0.00483951,-1.33E-04,-0.00446227,-0.0082309,-0.0115117,-0.0143678,-0.015613,-0.0166971,-0.0176408,-0.0184624,-0.0191776,-0.0195923,-0.0199533,-0.0202676,-0.0205411,-0.0207793,-0.0207778,-0.0207764,-0.0207752,-0.0207742,-0.0207733,-0.0201415,-0.0195915,-0.0191126,-0.0186958,-0.0183329,-0.0173479,-0.0164904,-0.015744,-0.0150941,-0.0145284,-0.0126477,-0.0110105,-0.00958515,-0.00834436,-0.00726419,-0.00632384,-0.00550523,-0.00479258,-0.00417218,-0.00363209,-0.00316192,-0.00275261,-0.00239629,-0.00208609,-0.00181605,-0.00158096,-0.00137631,-0.00119814,-0.00104305,-9.08E-04,-7.90E-04,-6.88E-04,-5.99E-04,-5.22E-04,-4.54E-04,-3.95E-04,-3.44E-04,-3.00E-04,-2.61E-04,-2.27E-04,-1.98E-04,-1.72E-04,-1.50E-04,-1.30E-04,-1.14E-04,-9.88E-05,-8.60E-05,-7.49E-05,-6.52E-05,-5.68E-05,MtC/yr
SG20,"CORN1BG,date=2025-13-2T07:20:41-08:00",USA,MiscCrop_MissouriR_IRR_lo,-0.00777064,-0.0109933,-0.0137987,-0.016241,-0.0183672,-0.0202181,-0.0173803,-0.0149099,-0.0127593,-0.0108871,-0.00925724,-0.00742971,-0.00583875,-0.00445374,-0.00324802,-0.00219838,-5.75E-04,8.37E-04,0.00206738,0.00313813,0.00407026,0.00211014,4.04E-04,-0.00108174,-0.00237494,-0.00350074,-0.00496544,-0.00624054,-0.00735057,-0.00831692,-0.00915817,-0.00875828,-0.00841015,-0.00810709,-0.00784326,-0.00761358,-0.00728929,-0.00700698,-0.00676122,-0.00654727,-0.00636101,-0.00583534,-0.00537771,-0.00497932,-0.00463251,-0.00433059,-0.00491779,-0.00542897,-0.00587399,-0.00626139,-0.00659865,-0.00574446,-0.00500084,-0.00435348,-0.00378993,-0.00329932,-0.00287223,-0.00250042,-0.00217674,-0.00189496,-0.00164966,-0.00143611,-0.00125021,-0.00108837,-9.47E-04,-8.25E-04,-7.18E-04,-6.25E-04,-5.44E-04,-4.74E-04,-4.12E-04,-3.59E-04,-3.13E-04,-2.72E-04,-2.37E-04,-2.06E-04,-1.80E-04,-1.56E-04,-1.36E-04,-1.18E-04,-1.03E-04,-8.98E-05,-7.81E-05,-6.80E-05,-5.92E-05,-5.16E-05,-4.49E-05,-3.91E-05,-3.40E-05,-2.96E-05,-2.58E-05,MtC/yr
