Series,scenario,region,LandLeaf,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,Units
HWSD,"CORN1BG,date=2025-13-2T02:49:09-08:00",USA,Corn_MissouriR_IRR_hi,-1.02805,-0.936934,-0.857611,-0.788556,-0.728441,-0.676108,-0.655921,-0.638347,-0.623049,-0.60973,-0.598136,-0.573461,-0.551981,-0.53328,-0.517001,-0.502829,-0.470576,-0.442498,-0.418055,-0.396776,-0.378252,-0.369094,-0.361123,-0.354183,-0.348141,-0.342882,-0.317643,-0.295671,-0.276544,-0.259892,-0.245396,-0.230772,-0.218041,-0.206957,-0.197309,-0.188909,-0.175597,-0.164007,-0.153918,-0.145135,-0.137489,-0.175911,-0.209359,-0.238477,-0.263826,-0.285893,-0.296785,-0.306266,-0.314521,-0.321706,-0.327962,-0.285507,-0.248549,-0.216374,-0.188365,-0.163981,-0.142754,-0.124274,-0.108187,-0.0941823,-0.0819905,-0.0713769,-0.0621372,-0.0540935,-0.0470912,-0.0409952,-0.0356884,-0.0310686,-0.0270468,-0.0235456,-0.0204976,-0.0178442,-0.0155343,-0.0135234,-0.0117728,-0.0102488,-0.00892211,-0.00776715,-0.00676169,-0.0058864,-0.00512441,-0.00446105,-0.00388357,-0.00338085,-0.0029432,-0.0025622,-0.00223053,-0.00194179,-0.00169042,-0.0014716,-0.0012811,MtC/yr
HWSD,"CORN1BG,date=2025-13-2T02:49:09-08:00",USA,Corn_MissouriR_IRR_lo,-1.02805,-0.936934,-0.857611,-0.788556,-0.728441,-0.676108,-0.632019,-0.593638,-0.560226,-0.531138,-0.505816,-0.452372,-0.405846,-0.365342,-0.330082,-0.299387,-0.263334,-0.231949,-0.204627,-0.180841,-0.160135,-0.140517,-0.12344,-0.108573,-0.0956301,-0.084363,-0.0814518,-0.0789175,-0.0767112,-0.0747905,-0.0731185,-0.0615339,-0.0514489,-0.0426694,-0.0350265,-0.0283729,-0.0204203,-0.0134973,-0.00747038,-0.00222368,0.00234385,-0.00857354,-0.0180777,-0.0263515,-0.0335543,-0.0398247,-0.0556144,-0.0693602,-0.0813265,-0.0917438,-0.100813,-0.0877625,-0.0764017,-0.0665115,-0.0579017,-0.0504063,-0.0438813,-0.0382009,-0.0332558,-0.0289508,-0.0252032,-0.0219406,-0.0191004,-0.0166279,-0.0144754,-0.0126016,-0.0109703,-0.00955021,-0.00831394,-0.00723771,-0.00630079,-0.00548516,-0.00477511,-0.00415697,-0.00361885,-0.0031504,-0.00274258,-0.00238755,-0.00207849,-0.00180943,-0.0015752,-0.00137129,-0.00119378,-0.00103924,-9.05E-04,-7.88E-04,-6.86E-04,-5.97E-04,-5.20E-04,-4.52E-04,-3.94E-04,MtC/yr
HWSD,"CORN1BG,date=2025-13-2T02:49:09-08:00",USA,Corn_MissouriR_RFD_hi,-2.03437,-1.85406,-1.69709,-1.56044,-1.44148,-1.33792,-1.36748,-1.39321,-1.41561,-1.43511,-1.45208,-1.44094,-1.43124,-1.42279,-1.41544,-1.40904,-1.3542,-1.30646,-1.26489,-1.22871,-1.19721,-1.1595,-1.12666,-1.09807,-1.07319,-1.05153,-0.997933,-0.951279,-0.910663,-0.875306,-0.844525,-0.79263,-0.747453,-0.708124,-0.673886,-0.64408,-0.613567,-0.587004,-0.563879,-0.543748,-0.526223,-0.581128,-0.628926,-0.670536,-0.70676,-0.738295,-0.748358,-0.757119,-0.764746,-0.771385,-0.777165,-0.676561,-0.588981,-0.512738,-0.446364,-0.388582,-0.338281,-0.29449,-0.256369,-0.223182,-0.194291,-0.16914,-0.147245,-0.128184,-0.111591,-0.0971456,-0.0845702,-0.0736226,-0.0640922,-0.0557955,-0.0485728,-0.0422851,-0.0368113,-0.0320461,-0.0278977,-0.0242864,-0.0211425,-0.0184056,-0.016023,-0.0139489,-0.0121432,-0.0105713,-0.00920282,-0.00801152,-0.00697444,-0.0060716,-0.00528563,-0.00460141,-0.00400576,-0.00348722,-0.0030358,MtC/yr
HWSD,"CORN1BG,date=2025-13-2T02:49:09-08:00",USA,Corn_MissouriR_RFD_lo,-2.03437,-1.85406,-1.69709,-1.56044,-1.44148,-1.33792,-1.26475,-1.20106,-1.14561,-1.09733,-1.05531,-0.954665,-0.867051,-0.790778,-0.724378,-0.666575,-0.615654,-0.571325,-0.532735,-0.49914,-0.469894,-0.415015,-0.36724,-0.32565,-0.289444,-0.257924,-0.223952,-0.194378,-0.168632,-0.146219,-0.126707,-0.129608,-0.132133,-0.134331,-0.136245,-0.13791,-0.113822,-0.0928524,-0.0745971,-0.0587048,-0.0448699,-0.0578367,-0.0691249,-0.0789519,-0.0875069,-0.0949543,-0.123594,-0.148526,-0.170231,-0.189126,-0.205576,-0.178964,-0.155797,-0.135629,-0.118072,-0.102788,-0.089482,-0.0778986,-0.0678147,-0.0590361,-0.0513939,-0.044741,-0.0389493,-0.0339073,-0.0295181,-0.025697,-0.0223705,-0.0194747,-0.0169537,-0.014759,-0.0128485,-0.0111853,-0.00973733,-0.00847684,-0.00737951,-0.00642424,-0.00559263,-0.00486866,-0.00423842,-0.00368976,-0.00321212,-0.00279631,-0.00243433,-0.00211921,-0.00184488,-0.00160606,-0.00139816,-0.00121717,-0.0010596,-9.22E-04,-8.03E-04,MtC/yr
HWSD,"CORN1BG,date=2025-13-2T02:49:09-08:00",USA,FiberCrop_MissouriR_IRR_hi,2.27E-07,2.14E-07,2.02E-07,1.92E-07,1.83E-07,1.75E-07,1.47E-07,1.23E-07,1.01E-07,8.28E-08,6.66E-08,4.93E-08,3.42E-08,2.12E-08,9.75E-09,-1.73E-10,-8.33E-09,-1.54E-08,-2.16E-08,-2.70E-08,-3.17E-08,-3.48E-08,-3.76E-08,-4.00E-08,-4.21E-08,-4.39E-08,-4.23E-08,-4.09E-08,-3.96E-08,-3.86E-08,-3.76E-08,-3.54E-08,-3.35E-08,-3.19E-08,-3.04E-08,-2.92E-08,-2.77E-08,-2.64E-08,-2.53E-08,-2.44E-08,-2.35E-08,-2.93E-08,-3.43E-08,-3.86E-08,-4.24E-08,-4.57E-08,-4.90E-08,-5.18E-08,-5.43E-08,-5.65E-08,-5.84E-08,-5.08E-08,-4.42E-08,-3.85E-08,-3.35E-08,-2.92E-08,-2.54E-08,-2.21E-08,-1.92E-08,-1.68E-08,-1.46E-08,-1.27E-08,-1.11E-08,-9.62E-09,-8.38E-09,-7.29E-09,-6.35E-09,-5.53E-09,-4.81E-09,-4.19E-09,-3.65E-09,-3.17E-09,-2.76E-09,-2.41E-09,-2.09E-09,-1.82E-09,-1.59E-09,-1.38E-09,-1.20E-09,-1.05E-09,-9.12E-10,-7.94E-10,-6.91E-10,-6.02E-10,-5.24E-10,-4.56E-10,-3.97E-10,-3.45E-10,-3.01E-10,-2.62E-10,-2.28E-10,MtC/yr
HWSD,"CORN1BG,date=2025-13-2T02:49:09-08:00",USA,FiberCrop_MissouriR_IRR_lo,2.27E-07,2.14E-07,2.02E-07,1.92E-07,1.83E-07,1.75E-07,1.50E-07,1.27E-07,1.08E-07,9.08E-08,7.60E-08,6.41E-08,5.37E-08,4.47E-08,3.68E-08,3.00E-08,2.44E-08,1.95E-08,1.53E-08,1.16E-08,8.40E-09,7.00E-09,5.77E-09,4.70E-09,3.77E-09,2.97E-09,2.25E-09,1.63E-09,1.10E-09,6.26E-10,2.17E-10,-4.22E-11,-2.68E-10,-4.64E-10,-6.35E-10,-7.84E-10,-1.90E-10,3.27E-10,7.77E-10,1.17E-09,1.51E-09,-3.75E-10,-2.02E-09,-3.45E-09,-4.69E-09,-5.77E-09,-6.73E-09,-7.56E-09,-8.28E-09,-8.91E-09,-9.46E-09,-8.23E-09,-7.17E-09,-6.24E-09,-5.43E-09,-4.73E-09,-4.12E-09,-3.58E-09,-3.12E-09,-2.72E-09,-2.36E-09,-2.06E-09,-1.79E-09,-1.56E-09,-1.36E-09,-1.18E-09,-1.03E-09,-8.96E-10,-7.80E-10,-6.79E-10,-5.91E-10,-5.14E-10,-4.48E-10,-3.90E-10,-3.39E-10,-2.95E-10,-2.57E-10,-2.24E-10,-1.95E-10,-1.70E-10,-1.48E-10,-1.29E-10,-1.12E-10,-9.75E-11,-8.49E-11,-7.39E-11,-6.43E-11,-5.60E-11,-4.87E-11,-4.24E-11,-3.69E-11,MtC/yr
HWSD,"CORN1BG,date=2025-13-2T02:49:09-08:00",USA,FiberCrop_MissouriR_RFD_hi,5.97E-05,5.52E-05,5.13E-05,4.78E-05,4.49E-05,4.23E-05,3.56E-05,2.98E-05,2.47E-05,2.03E-05,1.65E-05,1.25E-05,9.10E-06,6.10E-06,3.49E-06,1.21E-06,-6.60E-07,-2.29E-06,-3.71E-06,-4.95E-06,-6.02E-06,-6.77E-06,-7.43E-06,-8.00E-06,-8.49E-06,-8.92E-06,-8.63E-06,-8.37E-06,-8.15E-06,-7.95E-06,-7.79E-06,-7.35E-06,-6.97E-06,-6.63E-06,-6.35E-06,-6.09E-06,-5.78E-06,-5.50E-06,-5.26E-06,-5.05E-06,-4.87E-06,-6.07E-06,-7.12E-06,-8.03E-06,-8.82E-06,-9.51E-06,-1.02E-05,-1.08E-05,-1.13E-05,-1.18E-05,-1.22E-05,-1.06E-05,-9.24E-06,-8.05E-06,-7.00E-06,-6.10E-06,-5.31E-06,-4.62E-06,-4.02E-06,-3.50E-06,-3.05E-06,-2.65E-06,-2.31E-06,-2.01E-06,-1.75E-06,-1.52E-06,-1.33E-06,-1.16E-06,-1.01E-06,-8.76E-07,-7.62E-07,-6.64E-07,-5.78E-07,-5.03E-07,-4.38E-07,-3.81E-07,-3.32E-07,-2.89E-07,-2.51E-07,-2.19E-07,-1.91E-07,-1.66E-07,-1.44E-07,-1.26E-07,-1.09E-07,-9.53E-08,-8.29E-08,-7.22E-08,-6.29E-08,-5.47E-08,-4.76E-08,MtC/yr
HWSD,"CORN1BG,date=2025-13-2T02:49:09-08:00",USA,FiberCrop_MissouriR_RFD_lo,5.97E-05,5.52E-05,5.13E-05,4.78E-05,4.49E-05,4.23E-05,3.60E-05,3.06E-05,2.59E-05,2.18E-05,1.82E-05,1.52E-05,1.27E-05,1.05E-05,8.52E-06,6.83E-06,5.44E-06,4.24E-06,3.19E-06,2.28E-06,1.49E-06,1.11E-06,7.89E-07,5.05E-07,2.58E-07,4.29E-08,-1.15E-07,-2.53E-07,-3.73E-07,-4.78E-07,-5.69E-07,-6.12E-07,-6.50E-07,-6.82E-07,-7.11E-07,-7.36E-07,-5.74E-07,-4.34E-07,-3.12E-07,-2.06E-07,-1.13E-07,-6.03E-07,-1.03E-06,-1.40E-06,-1.72E-06,-2.01E-06,-2.26E-06,-2.47E-06,-2.66E-06,-2.83E-06,-2.97E-06,-2.59E-06,-2.25E-06,-1.96E-06,-1.71E-06,-1.49E-06,-1.29E-06,-1.13E-06,-9.80E-07,-8.53E-07,-7.43E-07,-6.47E-07,-5.63E-07,-4.90E-07,-4.27E-07,-3.71E-07,-3.23E-07,-2.82E-07,-2.45E-07,-2.13E-07,-1.86E-07,-1.62E-07,-1.41E-07,-1.23E-07,-1.07E-07,-9.29E-08,-8.08E-08,-7.04E-08,-6.13E-08,-5.33E-08,-4.64E-08,-4.04E-08,-3.52E-08,-3.06E-08,-2.67E-08,-2.32E-08,-2.02E-08,-1.76E-08,-1.53E-08,-1.33E-08,-1.16E-08,MtC/yr
HWSD,"CORN1BG,date=2025-13-2T02:49:09-08:00",USA,FodderGrass_MissouriR_IRR_hi,0.0708949,0.0694777,0.068244,0.06717,0.066235,0.065421,0.0407189,0.0192144,4.94E-04,-0.0158037,-0.0299914,-0.0430804,-0.054475,-0.0643946,-0.0730301,-0.0805477,-0.087682,-0.0938927,-0.0992995,-0.104006,-0.108104,-0.111284,-0.114053,-0.116463,-0.118562,-0.120388,-0.121413,-0.122306,-0.123083,-0.123759,-0.124348,-0.123197,-0.122195,-0.121323,-0.120563,-0.119902,-0.118757,-0.11776,-0.116891,-0.116136,-0.115478,-0.116227,-0.116879,-0.117447,-0.117941,-0.118372,-0.118192,-0.118035,-0.117899,-0.11778,-0.117677,-0.102444,-0.0891824,-0.0776378,-0.0675876,-0.0588384,-0.0512218,-0.0445912,-0.0388189,-0.0337938,-0.0294192,-0.0256109,-0.0222956,-0.0194094,-0.0168969,-0.0147096,-0.0128055,-0.0111478,-0.00970472,-0.00844845,-0.0073548,-0.00640273,-0.0055739,-0.00485236,-0.00422423,-0.0036774,-0.00320136,-0.00278695,-0.00242618,-0.00211211,-0.0018387,-0.00160068,-0.00139347,-0.00121309,-0.00105606,-9.19E-04,-8.00E-04,-6.97E-04,-6.07E-04,-5.28E-04,-4.60E-04,MtC/yr
HWSD,"CORN1BG,date=2025-13-2T02:49:09-08:00",USA,FodderGrass_MissouriR_IRR_lo,0.0708949,0.0694777,0.068244,0.06717,0.066235,0.065421,0.0486425,0.034036,0.0213203,0.0102506,6.14E-04,-0.00623312,-0.0121938,-0.0173828,-0.0219002,-0.0258327,-0.028952,-0.0316675,-0.0340315,-0.0360894,-0.0378809,-0.0384577,-0.0389597,-0.0393968,-0.0397773,-0.0401085,-0.0401867,-0.0402548,-0.0403141,-0.0403657,-0.0404106,-0.0397021,-0.0390853,-0.0385483,-0.0380809,-0.0376739,-0.0369805,-0.0363769,-0.0358514,-0.0353939,-0.0349957,-0.0341676,-0.0334466,-0.0328191,-0.0322727,-0.0317971,-0.0309471,-0.0302071,-0.029563,-0.0290022,-0.028514,-0.0248229,-0.0216096,-0.0188122,-0.016377,-0.014257,-0.0124114,-0.0108048,-0.0094061,-0.00818849,-0.00712849,-0.00620571,-0.00540239,-0.00470305,-0.00409424,-0.00356425,-0.00310286,-0.00270119,-0.00235153,-0.00204712,-0.00178212,-0.00155143,-0.0013506,-0.00117576,-0.00102356,-8.91E-04,-7.76E-04,-6.75E-04,-5.88E-04,-5.12E-04,-4.46E-04,-3.88E-04,-3.38E-04,-2.94E-04,-2.56E-04,-2.23E-04,-1.94E-04,-1.69E-04,-1.47E-04,-1.28E-04,-1.11E-04,MtC/yr
