,1705,1706,1707,1708,1709,1710,1711,1712,1713,1714,1715,1716,1717,1718,1719,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,,SINK YEAR,SOURCE YEAR,,
Forests,0.04209421,0.04209421,0.04209421,0.04209422,0.04209423,0.04209423,0.04209424,0.04209425,0.04209426,0.04209427,0.04209428,0.04209429,0.0420943,0.04209431,0.04209432,0.04209433,0.04209434,0.04209435,0.04209435,0.04209436,0.04209437,0.04209438,0.04209439,0.04209439,0.0420944,0.04209441,0.04209441,0.04209442,0.04209443,0.04209443,0.04209444,0.04209444,0.04209445,0.04209445,0.04209446,0.04209446,0.04209446,0.04209447,0.04209447,0.04209447,0.04209448,0.04209448,0.04209448,0.04209449,0.04209449,0.04209449,0.2938584,0.2938585,0.2938585,0.2938585,0.2938585,0.2938586,0.2938586,0.2938586,0.2938587,0.2938587,0.2938588,0.2938588,0.2938588,0.2938589,0.2938589,0.293859,0.293859,0.2938589,0.293859,0.293859,0.293859,0.2938591,0.2938591,0.2938591,0.2938591,0.2938592,0.2938592,0.2938592,0.2938592,0.2938593,0.2938593,0.2938593,0.2938593,0.2938594,0.2938594,0.2938594,0.2938594,0.2938594,0.2938594,0.2938594,0.2938595,0.2938595,0.2938595,0.2938595,0.2938595,0.2938595,0.2938595,0.2938595,0.2938595,0.2938594,0.574867,0.574867,0.574868,0.574868,0.574868,0.574868,0.574868,0.5748681,0.574868,0.5748681,0.574868,0.5748681,0.5748682,0.5748681,0.5748682,0.5748681,0.5748682,0.5748682,0.5748682,0.5748682,0.5748682,0.5748682,0.5748683,0.5748682,0.5748682,0.5748682,0.5748682,0.5748682,0.5748682,0.5748682,0.5748681,0.5748682,0.5748682,0.5748681,0.5748681,0.5748681,0.5748681,0.5748681,0.574868,0.574868,0.574868,0.574868,0.574868,0.5748679,0.5748679,0.5748678,0.5748679,0.5748679,0.5748678,0.5748678,4.17523,4.175231,4.175231,4.175232,4.175233,4.175224,4.175224,4.175225,4.175225,4.175225,4.175225,4.175216,4.175216,4.175215,4.175216,4.175205,4.175205,4.175204,4.175193,4.175192,4.175182,4.17518,4.17518,4.175168,4.175166,4.175155,4.175153,4.175141,4.175139,4.175137,4.175124,4.175122,4.17511,4.175107,4.175093,4.17509,4.175078,4.175074,4.17506,4.175056,4.175042,4.175038,4.175025,4.17502,4.175006,4.175001,4.174986,4.174981,4.174965,4.17496,3.613711,3.613696,3.613691,3.613676,3.613671,3.613665,3.613659,3.613643,3.613637,3.613631,3.613624,3.613618,3.613611,3.613593,3.613586,3.613578,3.61357,3.613563,3.613555,3.613546,3.613538,3.613519,3.613511,3.613501,3.613492,3.613483,3.613473,3.613463,3.613443,3.613431,3.61342,3.613409,3.613398,3.613387,3.613375,3.613363,3.61335,3.613328,3.613315,3.613302,3.613288,3.613274,3.61326,3.613246,3.613231,3.613216,3.613199,3.613183,3.613167,3.613151,2.168261,2.168255,2.168249,2.168242,2.168246,2.168248,2.168252,2.168265,2.168268,2.16828,2.168293,2.168296,2.168308,2.16832,2.168333,2.168345,2.168357,2.168359,2.168371,2.168382,2.168394,2.168396,2.168407,2.168408,2.16842,1.53939551,1.53702489,1.53340067,1.52875084,1.52328455,1.517161,1.51054,1.503539,1.49626,1.488823,1.481275,1.473698,1.466141,1.458653,1.451275,-0.10359548,-0.12816829,-0.16178057,-0.20272202,-0.2495161,-0.3008915,-0.3557533,-0.4131669,-0.4723341,-0.5325763,-0.5933189,-0.6540806,-0.7144579,-0.7741155,-0.8327803,-0.899039,-0.9795039,-1.0713041,-1.1719679,-1.2793745,-1.3169075,-1.3958339,-1.4574459,-1.5041823,-1.5382043,-1.218132,-1.230293,-1.233694,-1.229755,-1.219709,-1.238555,-1.219175,-1.196383,-1.170904,-1.1433228,-1.1294638,-1.0991318,-1.0680397,-1.0365047,-1.0048094,-0.9409334,-0.909007,-0.87720949,-0.8457298,-0.8147211,-0.8537108,-0.8232246,-0.7931104,-0.7635043,-0.7345177,-0.7324224,-0.7045737,-0.6773729,-0.650892,-0.6251869,-0.6479654,-0.623595,-0.5999166,-0.5769712,-0.5547906,-0.4897624,-0.4681733,-0.4468628,-0.4259255,-0.4054383,-0.4227317,-0.4026507,-0.3828151,-0.363314,-0.3442236,Forests,70,285,80.28169014,
Unmanaged Pasture,-0.0181285,-0.05493753,-0.09503709,-0.1317848,-0.1628729,-0.1880252,-0.2078218,-0.223126,-0.2348143,-0.2436661,-0.2503289,-0.2553228,-0.2590543,-0.2618362,-0.2639064,-0.2654456,-0.2665891,-0.2674372,-0.2680663,-0.2685329,-0.2688795,-0.2691357,-0.2693254,-0.269467,-0.2695707,-0.269648,-0.2697058,-0.2697483,-0.2697799,-0.2698028,-0.2698202,-0.2698323,-0.2698421,-0.2698497,-0.2698541,-0.2698584,-0.2698616,-0.2698628,-0.269865,-0.269866,-0.2698671,-0.2698672,-0.2698682,-0.2698682,-0.2698683,-0.2698693,-0.3032816,-0.3711252,-0.4450332,-0.5127636,-0.5700626,-0.61642,-0.6529074,-0.6811154,-0.7026584,-0.7189731,-0.7312534,-0.7404583,-0.7473359,-0.7524627,-0.7562782,-0.7591147,-0.7612218,-0.7627851,-0.763945,-0.7648051,-0.7654428,-0.7659159,-0.7662659,-0.7665263,-0.7667182,-0.766861,-0.7669668,-0.7670442,-0.767103,-0.7671456,-0.7671772,-0.7672011,-0.7672186,-0.7672317,-0.7672405,-0.767248,-0.7672535,-0.7672568,-0.76726,-0.7672622,-0.7672633,-0.7672654,-0.7672655,-0.7672666,-0.7672666,-0.7672676,-0.7672677,-0.7672677,-0.7672677,-0.7672677,-0.7737332,-0.7868593,-0.8011595,-0.8142649,-0.8253515,-0.834321,-0.8413806,-0.8468378,-0.8510064,-0.8541634,-0.8565388,-0.85832,-0.859651,-0.8606431,-0.8613811,-0.8619295,-0.8623372,-0.8626402,-0.8628647,-0.8630305,-0.8631547,-0.8632463,-0.8633139,-0.863364,-0.8634011,-0.8634284,-0.8634491,-0.8634643,-0.8634752,-0.8634839,-0.8634894,-0.8634948,-0.8634981,-0.8635003,-0.8635024,-0.8635036,-0.8635046,-0.8635057,-0.8635058,-0.8635058,-0.8635068,-0.8635068,-0.8635068,-0.8635069,-0.8635069,-0.8635069,-0.8635069,-0.8635069,-0.8635069,-0.8635069,-1.291794,-2.161416,-3.108775,-3.976959,-4.711427,-5.305641,-5.773337,-6.134908,-6.411057,-6.620175,-6.777589,-6.895573,-6.983731,-7.049444,-7.098357,-7.134713,-7.161726,-7.181763,-7.196632,-7.207663,-7.215829,-7.22189,-7.226381,-7.229706,-7.23218,-7.234001,-7.235353,-7.236356,-7.237107,-7.237653,-7.238057,-7.238362,-7.23859,-7.238754,-7.238874,-7.238972,-7.239037,-7.239081,-7.239124,-7.239147,-7.239168,-7.239179,-7.23919,-7.239201,-7.239212,-7.239212,-7.239222,-7.239222,-7.239223,-7.239223,-7.194647,-7.104124,-7.005511,-6.91514,-6.83869,-6.776836,-6.728152,-6.69051,-6.661764,-6.639994,-6.62361,-6.611334,-6.602156,-6.59532,-6.590219,-6.586436,-6.583624,-6.581542,-6.579994,-6.578849,-6.577998,-6.577366,-6.576898,-6.576549,-6.576298,-6.576102,-6.57596,-6.575862,-6.575785,-6.575721,-6.575677,-6.575655,-6.575623,-6.575611,-6.5756,-6.575589,-6.575579,-6.575578,-6.575568,-6.575568,-6.575568,-6.575567,-6.575567,-6.575567,-6.575557,-6.575557,-6.575557,-6.575557,-6.575557,-6.575557,-3.282791,-2.349855,-1.341613,-0.4227021,0.350801,0.9734521,1.46098,1.835797,2.120416,2.334637,2.494884,2.614198,2.702759,2.768319,2.816775,2.852531,2.87889,2.898316,2.912608,2.923138,2.930878,2.936569,2.940755,2.94384,2.946107,-0.08438465,-0.2431418,-0.4165157,-0.5755568,-0.7101736,-0.8191171,-0.9048834,-0.9711966,-1.0218459,-1.060205,-1.0890802,-1.1107245,-1.1268914,-1.1389481,-1.14793,-1.217916,-1.351423,-1.495156,-1.626232,-1.736835,-1.826171,-1.896429,-1.950707,-1.992142,-2.023505,-2.047117,-2.064799,-2.078022,-2.087876,-2.095202,-2.164109,-2.296995,-2.440357,-2.571214,-2.681687,-2.658358,-2.499953,-2.305149,-2.118334,-1.956604,0.702167,1.004578,1.2991653,1.5556623,1.7662998,1.4663506,1.5955486,1.694279,1.7689918,1.8251133,1.6155389,1.64673931,1.66991226,1.68709429,1.6998117,2.01113962,2.01809945,2.02323452,2.027015,2.029809,1.554721,1.556255,1.557395,1.558239,1.558864,1.378194,1.3785441,1.3788064,1.3790029,1.3791451,1.0566741,1.0567708,1.0568458,1.0569095,1.05695221,1.54133423,1.54133572,1.54132683,1.54131765,1.54130826,1.36955871,1.369559046,1.369569293,1.369569476,1.369569612,Unmanaged Pasture,290,66,18.5915493,
Harvested Cropland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.421636687,-3.421636687,-3.421636687,-3.421636687,-3.421636687,-3.421636687,-3.421636687,-3.421636687,-3.421636687,-3.421636687,-3.421636687,-3.421636687,-3.421636687,-3.421636687,-3.421636687,-3.421636687,-3.421636687,-3.421636687,-3.421636687,-3.421636687,-3.421636687,-3.421636687,-3.421636687,-3.421636687,-3.421636687,0.553766857,0.553766857,0.553766857,0.553766857,0.553766857,0.553766857,0.553766857,0.553766857,0.553766857,0.553766857,0.553766857,0.553766857,0.553766857,0.553766857,0.553766857,-0.098591497,-0.098591497,-0.098591497,-0.098591497,-0.098591497,-0.098591497,-0.098591497,-0.098591497,-0.098591497,-0.098591497,-0.098591497,-0.098591497,-0.098591497,-0.098591497,-0.098591497,0.055228093,0.055228093,0.055228093,0.055228093,0.055228093,-0.090871844,-0.090871844,-0.090871844,-0.090871844,-0.090871844,-0.629796145,-0.629796145,-0.629796145,-0.629796145,-0.629796145,-0.466307779,-0.466307779,-0.466307779,-0.466307779,-0.466307779,-0.403753751,-0.403753751,-0.403753751,-0.403753751,-0.403753751,-0.497635091,-0.497635091,-0.497635091,-0.497635091,-0.497635091,-0.375725875,-0.375725875,-0.375725875,-0.375725875,-0.375725875,-0.339516299,-0.339516299,-0.339516299,-0.339516299,-0.339516299,-0.260979518,-0.260979518,-0.260979518,-0.260979518,-0.260979518,-0.414720919,-0.414720919,-0.414720919,-0.414720919,-0.414720919,-0.387583894,-0.387583894,-0.387583894,-0.387583894,-0.387583894,Harvested Cropland,90,20,5.633802817,
Other Arable Land ,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00199688,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.00214461,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-0.0471009,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.45388,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,-1.29397,3.72291,3.72291,3.72291,3.72291,3.72291,3.72291,3.72291,3.72291,3.72291,3.72291,3.72291,3.72291,3.72291,3.72291,3.72291,3.72291,3.72291,3.72291,3.72291,3.72291,3.72291,3.72291,3.72291,3.72291,3.72291,-1.01303,-1.01303,-1.01303,-1.01303,-1.01303,-1.01303,-1.01303,-1.01303,-1.01303,-1.01303,-1.01303,-1.01303,-1.01303,-1.01303,-1.01303,1.57435,1.57435,1.57435,1.57435,1.57435,1.57435,1.57435,1.57435,1.57435,1.57435,1.57435,1.57435,1.57435,1.57435,1.57435,1.17972,1.17972,1.17972,1.17972,1.17972,1.27523,1.27523,1.27523,1.27523,1.27523,0.0879256,0.0879256,0.0879256,0.0879256,0.0879256,0.0698088,0.0698088,0.0698088,0.0698088,0.0698088,0.0600822,0.0600822,0.0600822,0.0600822,0.0600822,0.0715066,0.0715066,0.0715066,0.0715066,0.0715066,0.0540579,0.0540579,0.0540579,0.0540579,0.0540579,0.04753,0.04753,0.04753,0.04753,0.04753,0.0358137,0.0358137,0.0358137,0.0358137,0.0358137,0.0540179,0.0540179,0.0540179,0.0540179,0.0540179,0.0480101,0.0480101,0.0480101,0.0480101,0.0480101,Other Arable Land ,261,95,26.76056338,
Grassland,0.2406192,0.2406257,0.2406323,0.2406388,0.2406443,0.2406487,0.240653,0.2406552,0.2406574,0.2406595,0.2406606,0.2406617,0.2406617,0.2406628,0.2406628,0.2406628,0.2406628,0.2406638,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.2406639,0.5911335,0.5911433,0.5911531,0.5911629,0.5911716,0.5911782,0.5911826,0.5911869,0.5911902,0.5911924,0.5911945,0.5911956,0.5911967,0.5911968,0.5911978,0.5911978,0.5911979,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.5911989,0.9451351,0.9451449,0.9451558,0.9451656,0.9451743,0.9451809,0.9451863,0.9451907,0.9451929,0.9451961,0.9451973,0.9451994,0.9451995,0.9452005,0.9452016,0.9452016,0.9452016,0.9452017,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,0.9452027,11.666692,11.666918,11.667346,11.667571,11.667893,11.668109,11.668222,11.668332,11.66844,11.668545,11.668549,11.668552,11.668654,11.668655,11.668656,11.668657,11.668657,11.668658,11.668658,11.668658,11.668657,11.668657,11.668657,11.668657,11.668656,11.668656,11.668656,11.668655,11.668655,11.668654,11.668654,11.668654,11.668553,11.668553,11.668552,11.668551,11.668551,11.66855,11.66855,11.668549,11.668548,11.668547,11.668547,11.668546,11.668545,11.668444,11.668443,11.668442,11.668441,11.66844,9.609233,9.609114,9.608993,9.608874,9.608776,9.608699,9.608633,9.608579,9.608535,9.608492,9.60846,9.608438,9.608415,9.608383,9.608362,9.60834,9.608318,9.608296,9.608263,9.608241,9.608209,9.608176,9.608143,9.60811,9.608067,9.608024,9.60798,9.607936,9.607881,9.607816,9.607751,9.607675,9.607598,9.607511,9.607402,9.607293,9.607163,9.607021,9.606857,9.606671,9.606453,9.606192,9.605897,9.605538,9.605102,9.604568,9.603913,9.603064,9.601973,9.60048,-0.08008096,-0.2826205,-0.5036262,-0.7062961,-0.8778093,-1.0166002,-1.1258554,-1.210329,-1.274842,-1.323702,-1.360482,-1.388051,-1.408654,-1.424004,-1.435439,-1.443931,-1.450243,-1.45493,-1.458397,-1.46098,-1.462888,-1.464305,-1.465352,-1.466126,-1.466704,-0.7592564,-0.5414894,-0.3080639,-0.09656654,0.08048278,0.2221962,0.3324914,0.416749,0.4802943,0.5277801,0.5630324,0.5890743,0.6082419,0.622311,0.6326169,-0.3308845,-0.9617028,-1.650814,-2.283041,-2.818203,-3.251319,-3.592309,-3.855955,-4.057333,-4.209841,-4.324642,-4.410696,-4.474992,-4.522935,-4.558614,-4.36345,-3.933027,-3.457297,-3.018764,-2.646651,-2.414063,-2.316519,-2.285298,-2.284687,-2.296591,-2.026186,-1.712795,-1.368728,-1.0526001,-0.784918,-0.5877226,-0.4174552,-0.2859217,-0.1855572,-0.1096284,-0.0627576,-0.02003312,0.01185014,0.03558933,0.05323524,0.08843553,0.09816541,0.10537959,0.11072506,0.114684,0.0919326,0.0940947,0.0956929,0.0968755,0.0977491,0.0892088,0.089685,0.090036,0.0902956,0.0904874,0.0711926,0.0712933,0.0713664,0.0714198,0.0714588,0.10599717,0.1060252,0.1060487,0.10606782,0.10608164,0.09674225,0.09674881,0.096753041,0.09675589,0.096757874,Grassland,66,289,81.4084507,
Shrubland,0.02825965,0.02825965,0.02825976,0.02825987,0.02826008,0.02826019,0.02826041,0.02826052,0.02826074,0.02826095,0.02826107,0.02826128,0.0282615,0.02826161,0.02826183,0.02826194,0.02826215,0.02826227,0.02826248,0.02826259,0.0282628,0.02826292,0.02826303,0.02826314,0.02826325,0.02826336,0.02826347,0.02826357,0.02826368,0.02826379,0.0282639,0.0282639,0.02826401,0.02826412,0.02826412,0.02826423,0.02826433,0.02826434,0.02826444,0.02826445,0.02826455,0.02826455,0.02826456,0.02826466,0.02826466,0.02826467,0.11671818,0.1167182,0.11671822,0.11671926,0.11671929,0.11672034,0.11672038,0.11672143,0.11672148,0.11672252,0.11672257,0.11672362,0.11672367,0.11672472,0.11672476,0.11672581,0.11672585,0.1167269,0.11672694,0.11672798,0.11672801,0.11672805,0.11672908,0.11672912,0.11673015,0.11673018,0.1167302,0.11673123,0.11673126,0.11673128,0.1167313,0.11673232,0.11673234,0.11673236,0.11673238,0.1167324,0.11673341,0.11673343,0.11673344,0.11673345,0.11673347,0.11673348,0.11673349,0.1167345,0.11673451,0.11673452,0.11673453,0.11673453,0.11673454,0.11673455,0.04158028,0.04158027,0.04158006,0.04157984,0.04157951,0.04157908,0.04157875,0.04157831,0.04157788,0.04157744,0.041577,0.04157646,0.04157603,0.04157559,0.04157515,0.04157472,0.04157428,0.04157395,0.04157352,0.04157308,0.04157275,0.04157243,0.0415721,0.04157177,0.04157145,0.04157112,0.0415709,0.04157058,0.04157036,0.04157014,0.04156992,0.0415697,0.04156948,0.04156927,0.04156915,0.04156894,0.04156883,0.04156861,0.0415685,0.04156839,0.04156828,0.04156817,0.04156806,0.04156795,0.04156785,0.04156774,0.04156763,0.04156752,0.04156752,0.04156741,0.5859183,0.5859194,0.5859206,0.5859238,0.585926,0.5859293,0.5859325,0.5859358,0.5859391,0.5859434,0.5859467,0.58595,0.5859533,0.5859576,0.5859608,0.5859641,0.5859674,0.5859696,0.5859729,0.5859761,0.5859783,0.5859805,0.5859827,0.5859859,0.5859881,0.5859893,0.5859914,0.5859936,0.5859947,0.5859968,0.585998,0.5859991,0.5860012,0.5860023,0.5860034,0.5860045,0.5860055,0.5860056,0.5860067,0.5860077,0.5860088,0.5860089,0.5860099,0.58601,0.586011,0.586011,0.5860121,0.5860121,0.5860121,0.5860122,1.1556485,1.1556486,1.1556487,1.1556589,1.1556592,1.1556594,1.1556597,1.15567,1.1556703,1.1556706,1.1556809,1.1556812,1.1556814,1.1556917,1.155692,1.1556922,1.1556924,1.1557026,1.1557028,1.155703,1.1557031,1.1557033,1.1557034,1.1557135,1.1557136,1.1557136,1.1557137,1.1557137,1.1557137,1.1557137,1.1557137,1.1557137,1.1557137,1.1557136,1.1557135,1.1557135,1.1557034,1.1557032,1.1557031,1.155703,1.1557028,1.1557026,1.1556924,1.1556922,1.155692,1.1556918,1.1556815,1.1556813,1.155681,1.1556707,0.0305125,0.03051239,0.03050955,0.03050453,0.03049756,0.03048928,0.0304799,0.03046965,0.03045875,0.03044752,0.03043597,0.03042431,0.03041264,0.03040109,0.03038975,0.03037852,0.03036772,0.03035705,0.0303468,0.03033698,0.0303274,0.03031824,0.03030952,0.03030112,0.03029316,0.09192742,0.09192033,0.0919139,0.09190791,0.09190245,0.09189744,0.09189275,0.0918885,0.09188457,0.09188097,0.0918776,0.09187444,0.0918716,0.09186899,0.09186648,-0.0003979,-0.00172781,-0.00374125,-0.00630273,-0.00929391,-0.01261652,-0.01618503,-0.0199284,-0.02378688,-0.02771012,-0.03165625,-0.03559083,-0.0394856,-0.04331738,-0.04706784,-0.05037494,-0.05296616,-0.05494876,-0.05641563,-0.05744699,-0.05811458,-0.05847978,-0.05859369,-0.05849994,-0.05823624,-0.02181544,-0.02086772,-0.01963429,-0.01817591,-0.01654404,-0.0201078,-0.01826115,-0.01635342,-0.01441049,-0.01245367,-0.01328891,-0.011358,-0.00945772,-0.00759747,-0.0057847,0.00201094,0.00371838,0.00536542,0.00694988,0.0084705,0.00289323,0.00428031,0.00560343,0.00686362,0.00806224,0.00667898,0.00775813,0.00878091,0.00974945,0.01066579,0.00618656,0.00700294,0.00777349,0.00850025,0.0091857,0.0193357,0.019946,0.0205217,0.0210634,0.0215728,0.0194747,0.0199256,0.0203487,0.0207463,0.0211198,Shrubland,40,315,88.73239437,
