Series,scenario,region,LandLeaf,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,Units
SG17,"CORN1BG,date=2025-13-2T04:15:54-08:00",USA,Corn_MissouriR_IRR_hi,-1.29336,-1.17872,-1.07893,-0.992055,-0.916426,-0.850587,-0.825191,-0.803082,-0.783835,-0.76708,-0.752494,-0.721451,-0.694427,-0.670901,-0.650421,-0.632591,-0.592015,-0.556691,-0.52594,-0.49917,-0.475865,-0.464345,-0.454315,-0.445585,-0.437984,-0.431367,-0.399615,-0.371973,-0.34791,-0.326961,-0.308725,-0.290326,-0.274309,-0.260366,-0.248227,-0.23766,-0.220912,-0.206332,-0.193639,-0.18259,-0.17297,-0.221307,-0.263387,-0.300019,-0.33191,-0.359672,-0.373374,-0.385303,-0.395687,-0.404727,-0.412597,-0.359187,-0.31269,-0.272213,-0.236975,-0.206299,-0.179593,-0.156345,-0.136106,-0.118487,-0.103149,-0.0897967,-0.0781726,-0.0680532,-0.0592437,-0.0515747,-0.0448983,-0.0390863,-0.0340266,-0.0296219,-0.0257873,-0.0224492,-0.0195431,-0.0170133,-0.0148109,-0.0128937,-0.0112246,-0.00977157,-0.00850665,-0.00740547,-0.00644683,-0.00561229,-0.00488579,-0.00425332,-0.00370273,-0.00322342,-0.00280615,-0.00244289,-0.00212666,-0.00185137,-0.00161171,MtC/yr
SG17,"CORN1BG,date=2025-13-2T04:15:54-08:00",USA,Corn_MissouriR_IRR_lo,-1.29336,-1.17872,-1.07893,-0.992055,-0.916426,-0.850587,-0.795121,-0.746835,-0.7048,-0.668206,-0.63635,-0.569113,-0.51058,-0.459624,-0.415265,-0.376648,-0.331292,-0.291807,-0.257434,-0.22751,-0.20146,-0.17678,-0.155295,-0.136591,-0.120309,-0.106134,-0.102472,-0.0992833,-0.0965077,-0.0940913,-0.0919878,-0.0774136,-0.0647261,-0.0536809,-0.0440655,-0.0356949,-0.0256901,-0.0169804,-0.00939822,-0.00279753,0.00294871,-0.0107861,-0.0227429,-0.0331519,-0.0422135,-0.050102,-0.0699665,-0.0872595,-0.102314,-0.11542,-0.126829,-0.110411,-0.0961183,-0.0836758,-0.072844,-0.0634144,-0.0552055,-0.0480591,-0.0418379,-0.036422,-0.0317072,-0.0276027,-0.0240296,-0.020919,-0.018211,-0.0158536,-0.0138014,-0.0120148,-0.0104595,-0.0091055,-0.0079268,-0.00690068,-0.00600739,-0.00522974,-0.00455275,-0.0039634,-0.00345034,-0.0030037,-0.00261487,-0.00227638,-0.0019817,-0.00172517,-0.00150185,-0.00130743,-0.00113819,-9.91E-04,-8.63E-04,-7.51E-04,-6.54E-04,-5.69E-04,-4.95E-04,MtC/yr
SG17,"CORN1BG,date=2025-13-2T04:15:54-08:00",USA,Corn_MissouriR_RFD_hi,-2.55937,-2.33253,-2.13505,-1.96314,-1.81348,-1.68319,-1.72038,-1.75275,-1.78092,-1.80546,-1.82681,-1.81279,-1.80059,-1.78996,-1.78071,-1.77266,-1.70367,-1.6436,-1.59132,-1.5458,-1.50617,-1.45872,-1.41741,-1.38145,-1.35014,-1.32289,-1.25546,-1.19677,-1.14567,-1.10119,-1.06247,-0.99718,-0.940344,-0.890865,-0.847792,-0.810294,-0.771907,-0.738489,-0.709397,-0.684071,-0.662023,-0.731097,-0.79123,-0.843578,-0.88915,-0.928823,-0.941483,-0.952504,-0.962099,-0.970452,-0.977723,-0.851158,-0.740976,-0.645057,-0.561555,-0.488862,-0.425579,-0.370488,-0.322528,-0.280777,-0.244431,-0.212789,-0.185244,-0.161264,-0.140389,-0.122215,-0.106395,-0.092622,-0.0806321,-0.0701943,-0.0611077,-0.0531974,-0.046311,-0.0403161,-0.0350972,-0.0305539,-0.0265987,-0.0231555,-0.020158,-0.0175486,-0.0152769,-0.0132993,-0.0115777,-0.010079,-0.00877429,-0.00763846,-0.00664967,-0.00578887,-0.00503951,-0.00438715,-0.00381923,MtC/yr
SG17,"CORN1BG,date=2025-13-2T04:15:54-08:00",USA,Corn_MissouriR_RFD_lo,-2.55937,-2.33253,-2.13505,-1.96314,-1.81348,-1.68319,-1.59114,-1.51101,-1.44125,-1.38051,-1.32764,-1.20103,-1.09081,-0.994849,-0.911315,-0.838594,-0.774533,-0.718764,-0.670215,-0.62795,-0.591157,-0.522116,-0.462012,-0.409689,-0.364139,-0.324485,-0.281746,-0.24454,-0.21215,-0.183953,-0.159406,-0.163055,-0.166232,-0.168997,-0.171405,-0.1735,-0.143196,-0.116814,-0.0938479,-0.0738545,-0.0564492,-0.0727623,-0.0869636,-0.0993266,-0.110089,-0.119459,-0.155489,-0.186856,-0.214162,-0.237933,-0.258627,-0.225148,-0.196003,-0.17063,-0.148542,-0.129314,-0.112574,-0.0980015,-0.0853152,-0.0742712,-0.0646569,-0.0562871,-0.0490007,-0.0426576,-0.0371356,-0.0323284,-0.0281435,-0.0245004,-0.0213288,-0.0185678,-0.0161642,-0.0140718,-0.0122502,-0.0106644,-0.0092839,-0.00808211,-0.00703588,-0.00612509,-0.0053322,-0.00464195,-0.00404105,-0.00351794,-0.00306255,-0.0026661,-0.00232098,-0.00202053,-0.00175897,-0.00153127,-0.00133305,-0.00116049,-0.00101026,MtC/yr
SG17,"CORN1BG,date=2025-13-2T04:15:54-08:00",USA,FiberCrop_MissouriR_IRR_hi,2.85E-07,2.69E-07,2.54E-07,2.41E-07,2.30E-07,2.21E-07,1.85E-07,1.54E-07,1.28E-07,1.04E-07,8.37E-08,6.20E-08,4.31E-08,2.66E-08,1.23E-08,-2.17E-10,-1.05E-08,-1.94E-08,-2.72E-08,-3.40E-08,-3.99E-08,-4.38E-08,-4.73E-08,-5.03E-08,-5.29E-08,-5.52E-08,-5.32E-08,-5.14E-08,-4.99E-08,-4.85E-08,-4.73E-08,-4.46E-08,-4.22E-08,-4.01E-08,-3.83E-08,-3.67E-08,-3.49E-08,-3.33E-08,-3.19E-08,-3.07E-08,-2.96E-08,-3.68E-08,-4.31E-08,-4.86E-08,-5.34E-08,-5.75E-08,-6.16E-08,-6.52E-08,-6.83E-08,-7.10E-08,-7.34E-08,-6.39E-08,-5.56E-08,-4.84E-08,-4.22E-08,-3.67E-08,-3.20E-08,-2.78E-08,-2.42E-08,-2.11E-08,-1.84E-08,-1.60E-08,-1.39E-08,-1.21E-08,-1.05E-08,-9.18E-09,-7.99E-09,-6.95E-09,-6.05E-09,-5.27E-09,-4.59E-09,-3.99E-09,-3.48E-09,-3.03E-09,-2.64E-09,-2.29E-09,-2.00E-09,-1.74E-09,-1.51E-09,-1.32E-09,-1.15E-09,-9.99E-10,-8.69E-10,-7.57E-10,-6.59E-10,-5.74E-10,-4.99E-10,-4.35E-10,-3.78E-10,-3.29E-10,-2.87E-10,MtC/yr
SG17,"CORN1BG,date=2025-13-2T04:15:54-08:00",USA,FiberCrop_MissouriR_IRR_lo,2.85E-07,2.69E-07,2.54E-07,2.41E-07,2.30E-07,2.21E-07,1.88E-07,1.60E-07,1.36E-07,1.14E-07,9.56E-08,8.06E-08,6.76E-08,5.62E-08,4.63E-08,3.77E-08,3.07E-08,2.46E-08,1.92E-08,1.46E-08,1.06E-08,8.80E-09,7.26E-09,5.92E-09,4.75E-09,3.73E-09,2.84E-09,2.06E-09,1.38E-09,7.87E-10,2.73E-10,-5.31E-11,-3.37E-10,-5.84E-10,-7.99E-10,-9.87E-10,-2.39E-10,4.12E-10,9.78E-10,1.47E-09,1.90E-09,-4.72E-10,-2.54E-09,-4.33E-09,-5.90E-09,-7.26E-09,-8.46E-09,-9.51E-09,-1.04E-08,-1.12E-08,-1.19E-08,-1.04E-08,-9.02E-09,-7.85E-09,-6.83E-09,-5.95E-09,-5.18E-09,-4.51E-09,-3.92E-09,-3.42E-09,-2.97E-09,-2.59E-09,-2.25E-09,-1.96E-09,-1.71E-09,-1.49E-09,-1.29E-09,-1.13E-09,-9.81E-10,-8.54E-10,-7.43E-10,-6.47E-10,-5.63E-10,-4.91E-10,-4.27E-10,-3.72E-10,-3.24E-10,-2.82E-10,-2.45E-10,-2.14E-10,-1.86E-10,-1.62E-10,-1.41E-10,-1.23E-10,-1.07E-10,-9.29E-11,-8.09E-11,-7.04E-11,-6.13E-11,-5.34E-11,-4.65E-11,MtC/yr
SG17,"CORN1BG,date=2025-13-2T04:15:54-08:00",USA,FiberCrop_MissouriR_RFD_hi,7.51E-05,6.94E-05,6.45E-05,6.02E-05,5.64E-05,5.32E-05,4.48E-05,3.75E-05,3.11E-05,2.56E-05,2.08E-05,1.58E-05,1.14E-05,7.67E-06,4.39E-06,1.53E-06,-8.31E-07,-2.88E-06,-4.67E-06,-6.22E-06,-7.58E-06,-8.52E-06,-9.34E-06,-1.01E-05,-1.07E-05,-1.12E-05,-1.09E-05,-1.05E-05,-1.03E-05,-1.00E-05,-9.79E-06,-9.24E-06,-8.76E-06,-8.35E-06,-7.98E-06,-7.67E-06,-7.27E-06,-6.92E-06,-6.62E-06,-6.36E-06,-6.13E-06,-7.64E-06,-8.95E-06,-1.01E-05,-1.11E-05,-1.20E-05,-1.28E-05,-1.36E-05,-1.43E-05,-1.48E-05,-1.53E-05,-1.34E-05,-1.16E-05,-1.01E-05,-8.81E-06,-7.67E-06,-6.68E-06,-5.81E-06,-5.06E-06,-4.41E-06,-3.84E-06,-3.34E-06,-2.91E-06,-2.53E-06,-2.20E-06,-1.92E-06,-1.67E-06,-1.45E-06,-1.27E-06,-1.10E-06,-9.59E-07,-8.35E-07,-7.27E-07,-6.33E-07,-5.51E-07,-4.79E-07,-4.17E-07,-3.63E-07,-3.16E-07,-2.75E-07,-2.40E-07,-2.09E-07,-1.82E-07,-1.58E-07,-1.38E-07,-1.20E-07,-1.04E-07,-9.08E-08,-7.91E-08,-6.88E-08,-5.99E-08,MtC/yr
SG17,"CORN1BG,date=2025-13-2T04:15:54-08:00",USA,FiberCrop_MissouriR_RFD_lo,7.51E-05,6.94E-05,6.45E-05,6.02E-05,5.64E-05,5.32E-05,4.53E-05,3.85E-05,3.26E-05,2.74E-05,2.29E-05,1.92E-05,1.60E-05,1.32E-05,1.07E-05,8.59E-06,6.85E-06,5.34E-06,4.02E-06,2.87E-06,1.87E-06,1.40E-06,9.92E-07,6.35E-07,3.24E-07,5.40E-08,-1.45E-07,-3.19E-07,-4.70E-07,-6.01E-07,-7.16E-07,-7.70E-07,-8.17E-07,-8.58E-07,-8.94E-07,-9.25E-07,-7.23E-07,-5.46E-07,-3.93E-07,-2.59E-07,-1.42E-07,-7.59E-07,-1.30E-06,-1.76E-06,-2.17E-06,-2.52E-06,-2.84E-06,-3.11E-06,-3.35E-06,-3.56E-06,-3.74E-06,-3.25E-06,-2.83E-06,-2.47E-06,-2.15E-06,-1.87E-06,-1.63E-06,-1.42E-06,-1.23E-06,-1.07E-06,-9.35E-07,-8.14E-07,-7.08E-07,-6.17E-07,-5.37E-07,-4.67E-07,-4.07E-07,-3.54E-07,-3.08E-07,-2.68E-07,-2.34E-07,-2.03E-07,-1.77E-07,-1.54E-07,-1.34E-07,-1.17E-07,-1.02E-07,-8.85E-08,-7.71E-08,-6.71E-08,-5.84E-08,-5.09E-08,-4.43E-08,-3.85E-08,-3.36E-08,-2.92E-08,-2.54E-08,-2.21E-08,-1.93E-08,-1.68E-08,-1.46E-08,MtC/yr
SG17,"CORN1BG,date=2025-13-2T04:15:54-08:00",USA,FodderGrass_MissouriR_IRR_hi,0.0891903,0.0874074,0.0858553,0.0845041,0.0833279,0.0823039,0.0512269,0.0241729,6.21E-04,-0.0198821,-0.0377311,-0.0541979,-0.068533,-0.0810125,-0.0918765,-0.101334,-0.11031,-0.118123,-0.124925,-0.130847,-0.136002,-0.140003,-0.143486,-0.146519,-0.149158,-0.151456,-0.152746,-0.153869,-0.154846,-0.155697,-0.156437,-0.154989,-0.153729,-0.152632,-0.151677,-0.150845,-0.149404,-0.148149,-0.147057,-0.146106,-0.145278,-0.146221,-0.147042,-0.147756,-0.148378,-0.148919,-0.148693,-0.148496,-0.148324,-0.148175,-0.148045,-0.128881,-0.112197,-0.0976733,-0.0850296,-0.0740225,-0.0644404,-0.0560986,-0.0488367,-0.0425148,-0.0370113,-0.0322202,-0.0280493,-0.0244183,-0.0212574,-0.0185056,-0.0161101,-0.0140247,-0.0122092,-0.0106287,-0.00925282,-0.00805505,-0.00701233,-0.00610458,-0.00531435,-0.00462641,-0.00402752,-0.00350616,-0.00305229,-0.00265717,-0.0023132,-0.00201376,-0.00175308,-0.00152615,-0.00132859,-0.0011566,-0.00100688,-8.77E-04,-7.63E-04,-6.64E-04,-5.78E-04,MtC/yr
SG17,"CORN1BG,date=2025-13-2T04:15:54-08:00",USA,FodderGrass_MissouriR_IRR_lo,0.0891903,0.0874074,0.0858553,0.0845041,0.0833279,0.0823039,0.0611954,0.0428195,0.0268223,0.0128959,7.72E-04,-0.00784167,-0.0153406,-0.0218687,-0.0275518,-0.0324993,-0.0364235,-0.0398397,-0.0428138,-0.0454028,-0.0476567,-0.0483822,-0.0490139,-0.0495637,-0.0500424,-0.0504591,-0.0505575,-0.0506432,-0.0507177,-0.0507826,-0.0508391,-0.0499478,-0.0491718,-0.0484963,-0.0479082,-0.0473963,-0.0465239,-0.0457645,-0.0451034,-0.0445278,-0.0440268,-0.042985,-0.042078,-0.0412885,-0.0406011,-0.0400028,-0.0389334,-0.0380025,-0.0371921,-0.0364866,-0.0358724,-0.0312288,-0.0271862,-0.023667,-0.0206033,-0.0179362,-0.0156144,-0.0135931,-0.0118335,-0.0103016,-0.00896811,-0.00780719,-0.00679655,-0.00591674,-0.00515082,-0.00448405,-0.00390359,-0.00339828,-0.00295837,-0.00257541,-0.00224203,-0.0019518,-0.00169914,-0.00147919,-0.00128771,-0.00112101,-9.76E-04,-8.50E-04,-7.40E-04,-6.44E-04,-5.61E-04,-4.88E-04,-4.25E-04,-3.70E-04,-3.22E-04,-2.80E-04,-2.44E-04,-2.12E-04,-1.85E-04,-1.61E-04,-1.40E-04,MtC/yr
