Model,scenario,region,landType,riverBasin,Variable,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,series,run,model_run_date,script_run_date,comments
GCAM,REF,USA,UrbanLand,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-1.55254,-1.566506333,-1.574474,-1.581411333,-1.587446667,-1.592704667,-1.314434,-1.144282333,-0.996152667,-0.867203333,-0.754944667,-0.657217,-0.572139333,-0.498076333,-0.433601667,-0.377472333,-0.328608133,-0.286070033,-0.249038533,-0.216800467,-0.1887358,-0.164304067,-0.1430352,-0.124519267,-0.108400233,-0.0943679,-0.082152033,-0.0715176,-0.062259633,-0.0542003,-0.047184133,-0.0410762,-0.035758763,-0.031129817,-0.027100077,-0.023591993,-0.020538027,-0.0178794,-0.01556489,-0.013550057,-0.011795997,-0.010269013,-0.0089397,-0.007782463,-0.00677501,-0.00589798,-0.005134507,-0.00446985,-0.003891213,-0.003387509,-0.002948997,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,USA,Rapeseed,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-0.974871627,-1.043245867,-1.08929194,-1.129373813,-1.164265813,-1.19464554,-1.06287357,-0.969099523,-0.887462913,-0.816396167,-0.754525163,-0.668549677,-0.59795318,-0.536496264,-0.48299456,-0.436418598,-0.393967988,-0.35726482,-0.325312346,-0.29749625,-0.273281503,-0.25325894,-0.235687973,-0.220391835,-0.20707566,-0.195483299,-0.183969493,-0.174134308,-0.16557204,-0.158118488,-0.151629584,-0.147198495,-0.143180217,-0.139681843,-0.136636471,-0.133985243,-0.127342431,-0.122133235,-0.117598114,-0.113650236,-0.110213405,-0.121378642,-0.129224872,-0.136055275,-0.142001526,-0.147178148,-0.150025707,-0.15272448,-0.155074139,-0.157119274,-0.158899792,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,Canada,MiscCrop,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-0.500963628,-0.498897395,-0.496741087,-0.494775314,-0.492983172,-0.491349203,-0.594689931,-0.676359185,-0.750820668,-0.818709799,-0.880606435,-0.807101038,-0.755630787,-0.708699382,-0.665914032,-0.626905162,-0.602132607,-0.578256929,-0.556484395,-0.536637759,-0.51854128,-0.502793081,-0.48835502,-0.475188276,-0.463188228,-0.452245518,-0.432899554,-0.416386559,-0.401329111,-0.387600928,-0.375085068,-0.36001317,-0.346709856,-0.334580896,-0.32352261,-0.313440625,-0.297107834,-0.283071305,-0.270273586,-0.258605824,-0.247968039,-0.232999131,-0.219980876,-0.208111546,-0.197290094,-0.187424115,-0.183726045,-0.179721041,-0.17606954,-0.172740383,-0.169705131,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,Canada,ProtectedGrassland,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-0.437286667,-0.442020333,-0.441701333,-0.439428,-0.436678,-0.434111333,-0.394933,-0.356560233,-0.3209052,-0.2886147,-0.259726133,-0.2340107,-0.211144633,-0.190790967,-0.1726351,-0.156398733,-0.141840967,-0.1287561,-0.116968133,-0.1063282,-0.0967076,-0.0879967,-0.080099067,-0.0729322,-0.066422767,-0.060506233,-0.055125767,-0.0502304,-0.045774667,-0.041717867,-0.038023333,-0.03465792,-0.031591927,-0.028798257,-0.026252453,-0.023932333,-0.021817693,-0.019890237,-0.01813328,-0.016531753,-0.01507176,-0.013740833,-0.012527497,-0.011421373,-0.01041293,-0.009493587,-0.008655423,-0.007891253,-0.007194587,-0.006559447,-0.005980333,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,USA,Forest,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-0.2838693,-0.969437333,-1.748838667,-2.444376,-3.066173,-3.623059,-2.542323667,-2.736855,-2.915289667,-3.079255667,-3.230197667,-3.478746333,-3.59337,-3.699666667,-3.798373333,-3.890113333,-4.026696667,-4.1019,-4.172116667,-4.237713333,-4.299093333,-4.166103333,-4.15503,-4.147586667,-4.14315,-4.141243333,-4.318233333,-4.249446667,-4.189313333,-4.136623333,-4.09046,-4.110186667,-4.04228,-3.982,-3.928393333,-3.880616667,-3.982806667,-3.917356667,-3.858653333,-3.805816667,-3.75826,-3.432051333,-3.282257,-3.148068,-3.027632667,-2.919334,-2.887155333,-2.734614667,-2.597246667,-2.473302333,-2.361249,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,Canada,Rapeseed,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-0.214543267,-0.2072906,-0.205842267,-0.204522267,-0.203318133,-0.202220333,-0.1873289,-0.177360333,-0.168272133,-0.1599862,-0.1524314,-0.143819867,-0.1364165,-0.129666533,-0.123512767,-0.117902033,-0.111644867,-0.106236533,-0.101305967,-0.096810157,-0.09271174,-0.087882813,-0.083764083,-0.08000872,-0.07658475,-0.073463243,-0.070476377,-0.067789627,-0.065340293,-0.063107037,-0.061070863,-0.059805277,-0.058498293,-0.057306443,-0.05621968,-0.055229167,-0.05380617,-0.05264358,-0.051583877,-0.050617563,-0.049736977,-0.050166417,-0.050237587,-0.050302743,-0.050361887,-0.05041597,-0.050045123,-0.04981581,-0.049606847,-0.049416437,-0.049242893,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,USA,ProtectedShrubland,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-0.195227267,-0.184702833,-0.1754753,-0.1673804,-0.160274767,-0.154033733,-0.1362163,-0.120577967,-0.1068441,-0.0947749,-0.084161367,-0.074821633,-0.066595833,-0.0593461,-0.052951067,-0.047304767,-0.042315533,-0.037901967,-0.033994473,-0.03053105,-0.02745809,-0.024728477,-0.022301107,-0.020139937,-0.01821347,-0.01649406,-0.014957507,-0.013582543,-0.01235058,-0.011245263,-0.01025222,-0.0093588,-0.008553893,-0.007827783,-0.00717178,-0.006578293,-0.006040687,-0.005552947,-0.005109903,-0.0047069,-0.004339867,-0.0040051,-0.00369941,-0.003419929,-0.003164088,-0.002929615,-0.002714481,-0.00251687,-0.002335164,-0.002167913,-0.00201381,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,USA,MiscCrop,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-0.135958533,-0.196489333,-0.2449898,-0.2872122,-0.323969067,-0.355967333,-0.3104409,-0.275722333,-0.2454991,-0.21918732,-0.19628191,-0.157054957,-0.12437601,-0.095927407,-0.07116172,-0.049601603,-0.030606437,-0.014053692,0.000356327,0.012900947,0.023821637,-0.038808744,-0.088343317,-0.131465437,-0.169005173,-0.201685807,-0.217593897,-0.232445143,-0.245373517,-0.256628497,-0.266426197,-0.264477583,-0.263470057,-0.262592807,-0.261829113,-0.261164823,-0.257271373,-0.254119103,-0.251374603,-0.24898555,-0.246905743,-0.23972113,-0.233756563,-0.22856405,-0.22404338,-0.22010813,-0.21372593,-0.20848113,-0.203915397,-0.199940803,-0.19648068,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,USA,Pasture,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-0.099225867,-0.978325333,-1.709209333,-2.327783333,-2.857451667,-3.314362333,-3.074621,-2.817558333,-2.575411667,-2.360585333,-2.175844,-2.019563333,-1.88848,-1.77892,-1.687389,-1.610821667,-1.548396667,-1.496084333,-1.452040333,-1.414801667,-1.383206,-1.346312,-1.313891333,-1.285713,-1.261359,-1.240374667,-1.220211667,-1.202674,-1.187490333,-1.174371,-1.163044667,-1.139354333,-1.117750333,-1.098599333,-1.081875667,-1.067392333,-1.050789667,-1.036152333,-1.023399667,-1.012363,-1.002840667,-0.997542333,-0.993219333,-0.989604,-0.986524,-0.983873,-0.974944667,-0.966676333,-0.959284333,-0.952801667,-0.947173333,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,Canada,Pasture,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-0.054460267,0.001418688,0.0540705,0.101692067,0.1448062,0.183880767,0.0942546,0.053216533,0.015010857,-0.019901603,-0.051513,-0.085360367,-0.116281,-0.144313767,-0.169642,-0.192502567,-0.2128577,-0.231224767,-0.247827433,-0.262857833,-0.276481333,-0.2858724,-0.294179967,-0.301653367,-0.308440733,-0.314635933,-0.321224933,-0.327320033,-0.3329194,-0.338042833,-0.342721133,-0.343212833,-0.3433925,-0.3434684,-0.343532567,-0.3436213,-0.343365367,-0.343145733,-0.342971567,-0.342842133,-0.3427501,-0.343309267,-0.3438809,-0.344430533,-0.344943133,-0.345413567,-0.3424861,-0.339577333,-0.3368464,-0.334351967,-0.332103933,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
