Series,scenario,region,LandLeaf,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,Units
FAO,"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,Corn_MissouriR_IRR_hi,-1.1607,-1.05783,-0.96827,-0.890306,-0.822433,-0.763347,-0.740556,-0.720715,-0.703442,-0.688405,-0.675315,-0.647456,-0.623204,-0.602091,-0.583711,-0.56771,-0.531296,-0.499595,-0.471998,-0.447973,-0.427058,-0.416719,-0.407719,-0.399884,-0.393063,-0.387124,-0.358629,-0.333822,-0.312227,-0.293427,-0.277061,-0.260549,-0.246175,-0.233662,-0.222768,-0.213285,-0.198254,-0.18517,-0.173779,-0.163862,-0.15523,-0.198609,-0.236373,-0.269248,-0.297868,-0.322783,-0.33508,-0.345785,-0.355104,-0.363217,-0.37028,-0.322347,-0.280619,-0.244293,-0.21267,-0.18514,-0.161174,-0.14031,-0.122147,-0.106335,-0.0925699,-0.0805868,-0.0701549,-0.0610734,-0.0531674,-0.046285,-0.0402934,-0.0350774,-0.0305367,-0.0265837,-0.0231425,-0.0201467,-0.0175387,-0.0152683,-0.0132919,-0.0115712,-0.0100733,-0.00876936,-0.00763417,-0.00664593,-0.00578562,-0.00503667,-0.00438468,-0.00381708,-0.00332297,-0.00289281,-0.00251834,-0.00219234,-0.00190854,-0.00166148,-0.0014464,MtC/yr
FAO,"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,Corn_MissouriR_IRR_lo,-1.1607,-1.05783,-0.96827,-0.890306,-0.822433,-0.763347,-0.71357,-0.670237,-0.632513,-0.599672,-0.571083,-0.510742,-0.458213,-0.412483,-0.372674,-0.338017,-0.297313,-0.261878,-0.23103,-0.204175,-0.180797,-0.158649,-0.139367,-0.122582,-0.10797,-0.0952486,-0.0919618,-0.0891004,-0.0866094,-0.0844409,-0.0825531,-0.0694738,-0.0580875,-0.0481752,-0.039546,-0.0320339,-0.0230552,-0.0152388,-0.0084343,-0.0025106,0.00264628,-0.0096798,-0.0204103,-0.0297517,-0.0378839,-0.0449634,-0.0627905,-0.0783098,-0.0918203,-0.103582,-0.113821,-0.0990867,-0.08626,-0.0750937,-0.0653728,-0.0569104,-0.0495434,-0.04313,-0.0375468,-0.0326864,-0.0284552,-0.0247717,-0.021565,-0.0187734,-0.0163432,-0.0142276,-0.0123858,-0.0107825,-0.00938671,-0.00817161,-0.0071138,-0.00619292,-0.00539125,-0.00469336,-0.0040858,-0.0035569,-0.00309646,-0.00269562,-0.00234668,-0.0020429,-0.00177845,-0.00154823,-0.00134781,-0.00117334,-0.00102145,-8.89E-04,-7.74E-04,-6.74E-04,-5.87E-04,-5.11E-04,-4.45E-04,MtC/yr
FAO,"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,Corn_MissouriR_RFD_hi,-2.29687,-2.09329,-1.91607,-1.76179,-1.62748,-1.51056,-1.54393,-1.57298,-1.59827,-1.62028,-1.63945,-1.62687,-1.61591,-1.60638,-1.59808,-1.59085,-1.52893,-1.47503,-1.42811,-1.38726,-1.35169,-1.30911,-1.27203,-1.23976,-1.21167,-1.18721,-1.1267,-1.07402,-1.02817,-0.988248,-0.953496,-0.894905,-0.843898,-0.799494,-0.760839,-0.727187,-0.692737,-0.662746,-0.636638,-0.613909,-0.594123,-0.656113,-0.710078,-0.757057,-0.797955,-0.833559,-0.844921,-0.854812,-0.863422,-0.870918,-0.877444,-0.763859,-0.664978,-0.578897,-0.503959,-0.438722,-0.38193,-0.332489,-0.289449,-0.25198,-0.219361,-0.190965,-0.166245,-0.144724,-0.12599,-0.109681,-0.0954824,-0.0831223,-0.0723622,-0.0629949,-0.0548403,-0.0477412,-0.0415611,-0.0361811,-0.0314975,-0.0274201,-0.0238706,-0.0207806,-0.0180905,-0.0157487,-0.0137101,-0.0119353,-0.0103903,-0.00904527,-0.00787436,-0.00685503,-0.00596765,-0.00519514,-0.00452263,-0.00393718,-0.00342752,MtC/yr
FAO,"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,Corn_MissouriR_RFD_lo,-2.29687,-2.09329,-1.91607,-1.76179,-1.62748,-1.51056,-1.42795,-1.35603,-1.29343,-1.23892,-1.19148,-1.07785,-0.978928,-0.892814,-0.817847,-0.752584,-0.695093,-0.645045,-0.601475,-0.563545,-0.530526,-0.468566,-0.414626,-0.36767,-0.326791,-0.291205,-0.252849,-0.219459,-0.190391,-0.165086,-0.143057,-0.146331,-0.149182,-0.151664,-0.153825,-0.155705,-0.128509,-0.104833,-0.0842225,-0.0662797,-0.0506595,-0.0652995,-0.0780443,-0.0891393,-0.0987981,-0.107207,-0.139542,-0.167691,-0.192197,-0.21353,-0.232102,-0.202056,-0.1759,-0.15313,-0.133307,-0.116051,-0.101028,-0.0879501,-0.076565,-0.0666537,-0.0580254,-0.050514,-0.043975,-0.0382825,-0.0333268,-0.0290127,-0.025257,-0.0219875,-0.0191412,-0.0166634,-0.0145063,-0.0126285,-0.0109938,-0.00957062,-0.00833171,-0.00725317,-0.00631426,-0.00549688,-0.00478531,-0.00416585,-0.00362659,-0.00315713,-0.00274844,-0.00239266,-0.00208293,-0.00181329,-0.00157856,-0.00137422,-0.00119633,-0.00104146,-9.07E-04,MtC/yr
FAO,"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,FiberCrop_MissouriR_IRR_hi,2.56E-07,2.41E-07,2.28E-07,2.17E-07,2.07E-07,1.98E-07,1.66E-07,1.39E-07,1.14E-07,9.34E-08,7.52E-08,5.56E-08,3.87E-08,2.39E-08,1.10E-08,-1.95E-10,-9.41E-09,-1.74E-08,-2.44E-08,-3.05E-08,-3.58E-08,-3.93E-08,-4.24E-08,-4.51E-08,-4.75E-08,-4.95E-08,-4.77E-08,-4.61E-08,-4.47E-08,-4.35E-08,-4.25E-08,-4.00E-08,-3.79E-08,-3.60E-08,-3.44E-08,-3.29E-08,-3.13E-08,-2.98E-08,-2.86E-08,-2.75E-08,-2.66E-08,-3.31E-08,-3.87E-08,-4.36E-08,-4.79E-08,-5.16E-08,-5.53E-08,-5.85E-08,-6.13E-08,-6.38E-08,-6.59E-08,-5.74E-08,-4.99E-08,-4.35E-08,-3.78E-08,-3.29E-08,-2.87E-08,-2.50E-08,-2.17E-08,-1.89E-08,-1.65E-08,-1.43E-08,-1.25E-08,-1.09E-08,-9.46E-09,-8.24E-09,-7.17E-09,-6.24E-09,-5.43E-09,-4.73E-09,-4.12E-09,-3.58E-09,-3.12E-09,-2.72E-09,-2.36E-09,-2.06E-09,-1.79E-09,-1.56E-09,-1.36E-09,-1.18E-09,-1.03E-09,-8.96E-10,-7.80E-10,-6.79E-10,-5.91E-10,-5.15E-10,-4.48E-10,-3.90E-10,-3.40E-10,-2.96E-10,-2.57E-10,MtC/yr
FAO,"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,FiberCrop_MissouriR_IRR_lo,2.56E-07,2.41E-07,2.28E-07,2.17E-07,2.07E-07,1.98E-07,1.69E-07,1.44E-07,1.22E-07,1.03E-07,8.58E-08,7.23E-08,6.06E-08,5.04E-08,4.16E-08,3.38E-08,2.75E-08,2.20E-08,1.73E-08,1.31E-08,9.49E-09,7.90E-09,6.52E-09,5.31E-09,4.26E-09,3.35E-09,2.55E-09,1.85E-09,1.24E-09,7.07E-10,2.45E-10,-4.76E-11,-3.02E-10,-5.24E-10,-7.17E-10,-8.85E-10,-2.15E-10,3.69E-10,8.78E-10,1.32E-09,1.71E-09,-4.23E-10,-2.28E-09,-3.89E-09,-5.29E-09,-6.52E-09,-7.59E-09,-8.53E-09,-9.35E-09,-1.01E-08,-1.07E-08,-9.29E-09,-8.09E-09,-7.04E-09,-6.13E-09,-5.34E-09,-4.65E-09,-4.05E-09,-3.52E-09,-3.07E-09,-2.67E-09,-2.32E-09,-2.02E-09,-1.76E-09,-1.53E-09,-1.33E-09,-1.16E-09,-1.01E-09,-8.80E-10,-7.66E-10,-6.67E-10,-5.81E-10,-5.06E-10,-4.40E-10,-3.83E-10,-3.34E-10,-2.90E-10,-2.53E-10,-2.20E-10,-1.92E-10,-1.67E-10,-1.45E-10,-1.26E-10,-1.10E-10,-9.58E-11,-8.34E-11,-7.26E-11,-6.32E-11,-5.50E-11,-4.79E-11,-4.17E-11,MtC/yr
FAO,"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,FiberCrop_MissouriR_RFD_hi,6.74E-05,6.23E-05,5.79E-05,5.40E-05,5.06E-05,4.77E-05,4.02E-05,3.36E-05,2.79E-05,2.30E-05,1.86E-05,1.42E-05,1.03E-05,6.89E-06,3.94E-06,1.37E-06,-7.45E-07,-2.59E-06,-4.19E-06,-5.59E-06,-6.80E-06,-7.65E-06,-8.39E-06,-9.03E-06,-9.59E-06,-1.01E-05,-9.74E-06,-9.45E-06,-9.20E-06,-8.98E-06,-8.79E-06,-8.30E-06,-7.87E-06,-7.49E-06,-7.17E-06,-6.88E-06,-6.52E-06,-6.21E-06,-5.94E-06,-5.70E-06,-5.50E-06,-6.85E-06,-8.03E-06,-9.06E-06,-9.96E-06,-1.07E-05,-1.15E-05,-1.22E-05,-1.28E-05,-1.33E-05,-1.38E-05,-1.20E-05,-1.04E-05,-9.08E-06,-7.91E-06,-6.88E-06,-5.99E-06,-5.22E-06,-4.54E-06,-3.95E-06,-3.44E-06,-3.00E-06,-2.61E-06,-2.27E-06,-1.98E-06,-1.72E-06,-1.50E-06,-1.30E-06,-1.14E-06,-9.89E-07,-8.61E-07,-7.49E-07,-6.52E-07,-5.68E-07,-4.94E-07,-4.30E-07,-3.75E-07,-3.26E-07,-2.84E-07,-2.47E-07,-2.15E-07,-1.87E-07,-1.63E-07,-1.42E-07,-1.24E-07,-1.08E-07,-9.36E-08,-8.15E-08,-7.10E-08,-6.18E-08,-5.38E-08,MtC/yr
FAO,"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,FiberCrop_MissouriR_RFD_lo,6.74E-05,6.23E-05,5.79E-05,5.40E-05,5.06E-05,4.77E-05,4.07E-05,3.45E-05,2.92E-05,2.46E-05,2.05E-05,1.72E-05,1.43E-05,1.18E-05,9.61E-06,7.71E-06,6.15E-06,4.79E-06,3.61E-06,2.58E-06,1.68E-06,1.26E-06,8.90E-07,5.70E-07,2.91E-07,4.85E-08,-1.30E-07,-2.86E-07,-4.22E-07,-5.40E-07,-6.42E-07,-6.91E-07,-7.33E-07,-7.70E-07,-8.02E-07,-8.30E-07,-6.49E-07,-4.90E-07,-3.52E-07,-2.32E-07,-1.28E-07,-6.81E-07,-1.16E-06,-1.58E-06,-1.95E-06,-2.26E-06,-2.55E-06,-2.79E-06,-3.01E-06,-3.19E-06,-3.36E-06,-2.92E-06,-2.54E-06,-2.21E-06,-1.93E-06,-1.68E-06,-1.46E-06,-1.27E-06,-1.11E-06,-9.64E-07,-8.39E-07,-7.30E-07,-6.36E-07,-5.53E-07,-4.82E-07,-4.19E-07,-3.65E-07,-3.18E-07,-2.77E-07,-2.41E-07,-2.10E-07,-1.83E-07,-1.59E-07,-1.38E-07,-1.20E-07,-1.05E-07,-9.13E-08,-7.95E-08,-6.92E-08,-6.02E-08,-5.24E-08,-4.56E-08,-3.97E-08,-3.46E-08,-3.01E-08,-2.62E-08,-2.28E-08,-1.99E-08,-1.73E-08,-1.51E-08,-1.31E-08,MtC/yr
FAO,"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,FodderGrass_MissouriR_IRR_hi,0.0800426,0.0784426,0.0770497,0.0758371,0.0747814,0.0738624,0.0459729,0.0216936,5.57E-04,-0.0178429,-0.0338613,-0.0486391,-0.061504,-0.0727035,-0.0824533,-0.0909409,-0.0989958,-0.106008,-0.112112,-0.117427,-0.122053,-0.125644,-0.12877,-0.131491,-0.13386,-0.135922,-0.13708,-0.138087,-0.138964,-0.139728,-0.140392,-0.139093,-0.137962,-0.136977,-0.13612,-0.135374,-0.13408,-0.132954,-0.131974,-0.131121,-0.130378,-0.131224,-0.13196,-0.132601,-0.13316,-0.133645,-0.133442,-0.133266,-0.133112,-0.132978,-0.132861,-0.115662,-0.10069,-0.0876556,-0.0763086,-0.0664305,-0.0578311,-0.0503449,-0.0438278,-0.0381543,-0.0332152,-0.0289156,-0.0251724,-0.0219139,-0.0190771,-0.0166076,-0.0144578,-0.0125862,-0.0109569,-0.00953857,-0.00830381,-0.00722889,-0.00629311,-0.00547847,-0.00476929,-0.00415191,-0.00361444,-0.00314656,-0.00273924,-0.00238464,-0.00207595,-0.00180722,-0.00157328,-0.00136962,-0.00119232,-0.00103798,-9.04E-04,-7.87E-04,-6.85E-04,-5.96E-04,-5.19E-04,MtC/yr
FAO,"CORN1BG,date=2025-12-2T15:44:00-08:00",USA,FodderGrass_MissouriR_IRR_lo,0.0800426,0.0784426,0.0770497,0.0758371,0.0747814,0.0738624,0.054919,0.0384277,0.0240713,0.0115733,6.93E-04,-0.0070374,-0.0137672,-0.0196258,-0.024726,-0.029166,-0.0326878,-0.0357536,-0.0384226,-0.0407461,-0.0427688,-0.04342,-0.0439868,-0.0444803,-0.0449099,-0.0452838,-0.0453721,-0.045449,-0.0455159,-0.0455741,-0.0456249,-0.0448249,-0.0441285,-0.0435223,-0.0429945,-0.0425351,-0.0417522,-0.0410707,-0.0404774,-0.0399609,-0.0395112,-0.0385763,-0.0377623,-0.0370538,-0.0364369,-0.0358999,-0.0349403,-0.0341048,-0.0333775,-0.0327444,-0.0321932,-0.0280258,-0.0243979,-0.0212396,-0.0184901,-0.0160966,-0.0140129,-0.0121989,-0.0106198,-0.00924507,-0.0080483,-0.00700645,-0.00609947,-0.0053099,-0.00462253,-0.00402415,-0.00350323,-0.00304974,-0.00265495,-0.00231127,-0.00201207,-0.00175161,-0.00152487,-0.00132747,-0.00115563,-0.00100604,-8.76E-04,-7.62E-04,-6.64E-04,-5.78E-04,-5.03E-04,-4.38E-04,-3.81E-04,-3.32E-04,-2.89E-04,-2.52E-04,-2.19E-04,-1.91E-04,-1.66E-04,-1.44E-04,-1.26E-04,MtC/yr
